figure_id,chapter,title,book_page,claim_summary,original_dataset,dataset_url,archive_url,download_date,confidence_score,book_citation,reproduction_status,execution_status,publication_status,visual_validation,notes
4-1,4,"Tone of the news, 1945-2010",Supplemental Graphics page 1 (text-indexed; local PDF page unavailable),The tone of New York Times and international news coverage became more negative over the periods shown.,Unpublished monthly standardized tone aggregates derived from licensed New York Times (1945-2005) and Summary of World Broadcasts (1979-July 2010) full-text corpora,,,2026-07-10,0.88,Leetaru 2011,source_unavailable,blocked,incomplete,pending,"Original publication and author-supplied high-resolution component plots recovered. Monthly numeric values, exact final sentiment dictionary, and code were not published or recovered. No reconstruction, digitization, or extension was made."
5-1,5,"Life expectancy, 1771-2015",Kindle page 54 search result,Average life expectancy increased across world regions from the Enlightenment era to 2015.,,,,2026-06-29,0.86,"Our World in Data, Roser 2016n, based on Riley 2005 before 2000 and WHO/World Bank after.",verified_reproduction,processed,not_reviewed,pending,Book-period reconstruction is verified. The extended artifact intentionally plots no successor segment because a comparable regional successor series has not been accepted.
5-2,5,"Child mortality, 1751-2013",Kindle page 56 search result,Child mortality declined dramatically in representative countries.,,,,2026-07-10,0.7,"Our World in Data, Roser 2016a, based on UN Child Mortality Estimates and the Human Mortality Database.",partial_match,blocked,not_reviewed,pending,"Immutable OWID CME Info 2016 data were recovered from repository history, but they start in 1970 and are only one component of the cited source. The exact Roser 2016a UN/HMD assembly remains unrecovered. The plot uses current OWID successor values clipped to book-visible starts, with no post-2013 extension."
5-3,5,"Maternal mortality, 1751-2013",Supplemental Graphics indexed page 1; chapter 5 print page 57 context,Maternal mortality declined sharply in four countries representative of their regions.,Hanson GD010 early Sweden (1751-1799) plus preserved OWID 522 historical/World Bank 2015 series,,,2026-07-10,medium_pending_independent_review,"Our World in Data, Roser 2016p, based partly on data from Claudia Hanson of Gapminder.",partial_match,accepted,not_reviewed,inspected_pending_independent_review,49 missing Sweden observations (1751-1799) recovered from original Hanson GD010 table; existing OWID 522 observations retained. Actual PDF comparison replaces circular facsimile evidence. Remains partial pending independent scientific review.
5-4,5,"Life expectancy, UK, 1701-2013",,,,,,,,,partial_match,blocked,incomplete,pending,Imported from Kindle List of Figures extraction (List of Figures screen 1); figure page/source not checked. | [orchestrator run 20260711T022503-5-4-initial-w13sft: accept; prev current_status=not_started]
6-1,6,"Childhood deaths from infectious disease, 2000-2013",Supplemental PDF page 4; Kindle chart page not captured during Track A,Childhood deaths from major infectious diseases fell between 2000 and 2013.,IHME 2017 causes of child mortality proxy; cited Liu et al. appendix not recovered,See source_logs/source_log.md and data/raw/.,Not recovered in Track A time-box.,2026-06-30,0.3,"Child Health Epidemiology Reference Group of the World Health Organization; Liu et al. 2014, supplementary appendix.",blocked_external_source,processed,incomplete,pending,Track A health/nutrition batch. Source status: blocked_external_source.
7-1,7,"Calories, 1700-2013",Supplemental PDF page 5; rendered and text-inspected 2026-07-09,Average calorie availability rose in developed and developing regions.,Exact Roser 2016d source vintage unrecovered; reconstruction uses OWID 2022 successor dataset based on UN FAO and historical sources,Local raw file figures/7-1/data/raw/owid_daily_calories_fao_historical.csv; byte-identical to public owid/owid-datasets named dataset added 2022-02-14; live successor: https://ourworldindata.org/grapher/daily-per-capita-caloric-supply,2018 archived OWID Grapher page recovered for daily-per-capita-caloric-supply; old machine-readable variable endpoint /grapher/data/variables/3590 not recovered from Wayback,2026-07-09,0.72,"United States, England, and France: Our World in Data, Roser 2016d, based on Fogel 2004. China, India, and World: FAO.",partial_match,blocked,not_reviewed,pending,2026-07-09 run recovered archived chart configuration but not book-era variable data. United Kingdom source series is displayed as England/UK; do not promote without exact Roser 2016d data.
7-2,7,"Childhood stunting, 1966-2014",Supplemental PDF page 5; Kindle page previously inspected,Childhood stunting fell in several developing countries.,World Bank stunting prevalence proxy; exact OWID/WHO NLIS vintage not recovered,See source_logs/source_log.md and data/raw/.,Not recovered in Track A time-box.,2026-06-30,0.55,"Our World in Data, Roser 2016j, based on WHO Nutrition Landscape Information System.",partial_match,processed,not_reviewed,pending,Track A health/nutrition batch. Source status: partial_match.
7-3,7,"Undernourishment, 1970-2015",Supplemental Graphics PDF page 6 / book page 72,The share of people in developing countries who are undernourished declined from 1970 to 2015.,,,,2026-07-09,medium,"Our World in Data, Roser 2016j, based on data from the Food and Agriculture Organization 2014, also reported in FAOSTAT.",partial_match,accepted,not_reviewed,pending,"Archived FAO Food Security Indicators workbooks were recovered from the book-cited FAO page. March 17, 2016 workbook sheet V_2.6 supplies named regional series from 1991-2015; the recovered November 2014 workbook documents the source family but does not extend to the 2015 endpoint."
7-4,7,"Famine deaths, 1860-2016",Rendered PDF preview page page-06.png,"Famine deaths per 100,000 people per decade fell sharply after the mid-twentieth century.",,,,2026-06-30,medium-low,"Our World in Data, Hasell & Roser 2017, based on data from Devereux 2000; O Grada 2009; White 2011; EM-DAT; and other sources.",partial_match,blocked,not_reviewed,pending,"The previous reconstruction recomputed rates from an event table with a current population denominator. Remediation uses OWID's explicit decadal famine-death-rate grapher series, which fixes the aggregation treatment, but it is a 2025 World Peace Foundation/OWID successor rather than the archived 2017 Hasell-Roser book vintage."
