year,frequency_share,frequency_percent,corpus,period,fit_slope_log10_percent_per_year,fit_intercept
1955,8.257124761712475e-08,8.257124761712475e-06,American English 2009/v1 (corpus=5),book_candidate_observed,,
1956,5.9134510621561276e-08,5.913451062156128e-06,American English 2009/v1 (corpus=5),book_candidate_observed,,
1957,1.342220485867074e-07,1.3422204858670739e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1958,1.0952800266750273e-07,1.0952800266750273e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1959,9.061857042524935e-08,9.061857042524935e-06,American English 2009/v1 (corpus=5),book_candidate_observed,,
1960,1.0042185749625787e-07,1.0042185749625787e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1961,1.261347080117048e-07,1.2613470801170479e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1962,7.769428123083344e-08,7.769428123083344e-06,American English 2009/v1 (corpus=5),book_candidate_observed,,
1963,1.053149105700868e-07,1.053149105700868e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1964,1.892025096594807e-07,1.892025096594807e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1965,9.487015972808877e-08,9.487015972808877e-06,American English 2009/v1 (corpus=5),book_candidate_observed,,
1966,1.5667362163185317e-07,1.5667362163185317e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1967,1.4143833482194168e-07,1.4143833482194168e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1968,2.8411724883881107e-07,2.8411724883881107e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1969,1.6174259087620158e-07,1.6174259087620158e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1970,1.9612316748407466e-07,1.9612316748407466e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1971,1.967746783293478e-07,1.967746783293478e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1972,3.1916843568069453e-07,3.191684356806945e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1973,3.126168337530544e-07,3.126168337530544e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1974,3.742937337847252e-07,3.742937337847252e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1975,2.906752740727825e-07,2.906752740727825e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1976,3.668147883217898e-07,3.668147883217898e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1977,6.417254212465195e-07,6.417254212465195e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1978,5.293914000503719e-07,5.293914000503719e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1979,5.940127039139043e-07,5.9401270391390426e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1980,7.709993496973766e-07,7.709993496973766e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1981,7.783312980791379e-07,7.783312980791379e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1982,4.865938763032318e-07,4.865938763032318e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1983,7.849338317100774e-07,7.849338317100774e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1984,8.738776386962854e-07,8.738776386962854e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1985,9.360991839457711e-07,9.360991839457711e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1986,1.2820563597415457e-06,0.00012820563597415457,American English 2009/v1 (corpus=5),book_candidate_observed,,
1987,8.237713586822792e-07,8.237713586822792e-05,American English 2009/v1 (corpus=5),book_candidate_observed,,
1988,1.5080256616784027e-06,0.00015080256616784027,American English 2009/v1 (corpus=5),book_candidate_observed,,
1989,1.6666933788656024e-06,0.00016666933788656024,American English 2009/v1 (corpus=5),book_candidate_observed,,
1990,2.859923142750631e-06,0.0002859923142750631,American English 2009/v1 (corpus=5),book_candidate_observed,,
1991,3.395402700334671e-06,0.0003395402700334671,American English 2009/v1 (corpus=5),book_candidate_observed,,
1992,5.240319751464995e-06,0.0005240319751464995,American English 2009/v1 (corpus=5),book_candidate_observed,,
1993,7.018637006694917e-06,0.0007018637006694917,American English 2009/v1 (corpus=5),book_candidate_observed,,
1994,6.180547643452883e-06,0.0006180547643452883,American English 2009/v1 (corpus=5),book_candidate_observed,,
1995,8.368653652723879e-06,0.0008368653652723879,American English 2009/v1 (corpus=5),book_candidate_observed,,
1996,7.334367182920687e-06,0.0007334367182920687,American English 2009/v1 (corpus=5),book_candidate_observed,,
1997,9.453653547097929e-06,0.0009453653547097929,American English 2009/v1 (corpus=5),book_candidate_observed,,
1998,8.955593330028933e-06,0.0008955593330028933,American English 2009/v1 (corpus=5),book_candidate_observed,,
1999,9.15037435333943e-06,0.000915037435333943,American English 2009/v1 (corpus=5),book_candidate_observed,,
2000,8.734999937587418e-06,0.0008734999937587418,American English 2009/v1 (corpus=5),book_candidate_observed,,
2001,8.565421012463048e-06,0.0008565421012463048,American English 2009/v1 (corpus=5),book_candidate_observed,,
2002,8.034470738493837e-06,0.0008034470738493837,American English 2009/v1 (corpus=5),book_candidate_observed,,
2003,7.782705324643757e-06,0.0007782705324643757,American English 2009/v1 (corpus=5),book_candidate_observed,,
2004,8.980538041214459e-06,0.0008980538041214459,American English 2009/v1 (corpus=5),book_candidate_observed,,
2005,1.105780029320158e-05,0.001105780029320158,American English 2009/v1 (corpus=5),book_candidate_observed,,
2006,1.2359408174233977e-05,0.0012359408174233977,American English 2009/v1 (corpus=5),book_candidate_observed,,
2007,1.1083409845014103e-05,0.0011083409845014103,American English 2009/v1 (corpus=5),book_candidate_observed,,
2008,1.4489234672510065e-05,0.0014489234672510065,American English 2009/v1 (corpus=5),book_candidate_observed,,
2008,1.7352079371026718e-05,0.0017352079371026718,American English 2009/v1 (corpus=5),book_candidate_projection,0.04798040032796124,-99.10529233300707
2009,1.937902512862426e-05,0.001937902512862426,American English 2009/v1 (corpus=5),book_candidate_projection,0.04798040032796124,-99.10529233300707
2010,2.1642744186780972e-05,0.0021642744186780973,American English 2009/v1 (corpus=5),book_candidate_projection,0.04798040032796124,-99.10529233300707
2011,2.4170894708349777e-05,0.0024170894708349776,American English 2009/v1 (corpus=5),book_candidate_projection,0.04798040032796124,-99.10529233300707
2012,2.6994365684873302e-05,0.00269943656848733,American English 2009/v1 (corpus=5),book_candidate_projection,0.04798040032796124,-99.10529233300707
2013,3.0147654338875704e-05,0.0030147654338875704,American English 2009/v1 (corpus=5),book_candidate_projection,0.04798040032796124,-99.10529233300707
2014,3.366928761158505e-05,0.003366928761158505,American English 2009/v1 (corpus=5),book_candidate_projection,0.04798040032796124,-99.10529233300707
