year,digitized_oil_loaded_billion_metric_tons,source_image,calibration_note
1970,1.456,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1971,1.533,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1972,1.654,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1973,1.852,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1974,1.852,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1975,1.68,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1976,1.801,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1977,1.897,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1978,1.903,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1979,2.018,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1980,1.942,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1981,1.75,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1982,1.571,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1983,1.482,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1984,1.482,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1985,1.469,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1986,1.52,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1987,1.558,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1988,1.59,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1989,1.686,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1990,1.75,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1991,1.776,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1992,1.827,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1993,1.903,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1994,1.98,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1995,2.031,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1996,2.082,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1997,2.159,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1998,2.146,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
1999,2.082,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2000,2.108,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2001,2.184,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2002,2.172,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2003,2.172,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2004,2.261,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2005,2.35,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2006,2.504,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2007,2.721,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2008,2.759,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2009,2.734,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2010,2.657,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2011,2.785,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2012,2.797,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2013,2.849,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2014,2.836,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2015,2.836,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
2016,2.938,Wayback 2017-01-19 ITOPF seaborne_16.JPG,"Image-derived diagnostic; x 1970-2016, y 0-3500 million metric tons"
