Year,Economy,Economy Label,CargoType,CargoType Label,Metric tons in thousands,Metric tons in thousands Footnote,Metric tons in thousands Missing value
2000,0000,"World",11,"Crude oil loaded",1812767.795,,
2000,0000,"World",12,"Other tanker trade loaded",1171171.876,,
2000,0000,"World",13,"Dry cargo loaded",3361790.366,,
2000,0000,"World",10,"Total goods loaded",6345730.037,,
2000,0000,"World",21,"Crude oil discharged",1812767.795,,
2000,0000,"World",22,"Other tanker trade discharged",1171171.876,,
2000,0000,"World",23,"Dry cargo discharged",3361790.366,,
2000,0000,"World",20,"Total goods discharged",6345730.037,,
2000,0000,"World",30,"Freight loaded and discharged",12691460.074,,
2000,5100,"Africa",11,"Crude oil loaded",259479.612,,
2000,5100,"Africa",12,"Other tanker trade loaded",111827.211,,
2000,5100,"Africa",13,"Dry cargo loaded",145556.737,,
2000,5100,"Africa",10,"Total goods loaded",516863.559,,
2000,5100,"Africa",21,"Crude oil discharged",32601.341,,
2000,5100,"Africa",22,"Other tanker trade discharged",31212.804,,
2000,5100,"Africa",23,"Dry cargo discharged",100687.641,,
2000,5100,"Africa",20,"Total goods discharged",164501.786,,
2000,5100,"Africa",30,"Freight loaded and discharged",681365.346,,
2000,5110,"Northern Africa",11,"Crude oil loaded",93342.124,,
2000,5110,"Northern Africa",12,"Other tanker trade loaded",93547.13,,
2000,5110,"Northern Africa",13,"Dry cargo loaded",25820.808,,
2000,5110,"Northern Africa",10,"Total goods loaded",212710.061,,
2000,5110,"Northern Africa",21,"Crude oil discharged",6271.989,,
2000,5110,"Northern Africa",22,"Other tanker trade discharged",15897.561,,
2000,5110,"Northern Africa",23,"Dry cargo discharged",48698.728,,
2000,5110,"Northern Africa",20,"Total goods discharged",70868.278,,
2000,5110,"Northern Africa",30,"Freight loaded and discharged",283578.339,,
2000,5120,"Sub-Saharan Africa",11,"Crude oil loaded",166137.488,,
2000,5120,"Sub-Saharan Africa",12,"Other tanker trade loaded",18280.08,,
2000,5120,"Sub-Saharan Africa",13,"Dry cargo loaded",119724.851,,
2000,5120,"Sub-Saharan Africa",10,"Total goods loaded",304142.419,,
2000,5120,"Sub-Saharan Africa",21,"Crude oil discharged",26329.352,,
2000,5120,"Sub-Saharan Africa",22,"Other tanker trade discharged",15315.243,,
2000,5120,"Sub-Saharan Africa",23,"Dry cargo discharged",51988.914,,
2000,5120,"Sub-Saharan Africa",20,"Total goods discharged",93633.508,,
2000,5120,"Sub-Saharan Africa",30,"Freight loaded and discharged",397775.928,,
2000,5121,"Eastern Africa",11,"Crude oil loaded",6.303,,
2000,5121,"Eastern Africa",12,"Other tanker trade loaded",1136.705,,
2000,5121,"Eastern Africa",13,"Dry cargo loaded",4468.459,,
2000,5121,"Eastern Africa",10,"Total goods loaded",5611.467,,
2000,5121,"Eastern Africa",21,"Crude oil discharged",1919.332,,
2000,5121,"Eastern Africa",22,"Other tanker trade discharged",5855.422,,
2000,5121,"Eastern Africa",23,"Dry cargo discharged",9182.426,,
2000,5121,"Eastern Africa",20,"Total goods discharged",16957.181,,
2000,5121,"Eastern Africa",30,"Freight loaded and discharged",22568.648,,
2000,5122,"Middle Africa",11,"Crude oil loaded",69815.898,,
2000,5122,"Middle Africa",12,"Other tanker trade loaded",3142.126,,
2000,5122,"Middle Africa",13,"Dry cargo loaded",4468.425,,
2000,5122,"Middle Africa",10,"Total goods loaded",77426.449,,
2000,5122,"Middle Africa",21,"Crude oil discharged",1360.537,,
2000,5122,"Middle Africa",22,"Other tanker trade discharged",1090.26,,
2000,5122,"Middle Africa",23,"Dry cargo discharged",4580.098,,
2000,5122,"Middle Africa",20,"Total goods discharged",7030.896,,
2000,5122,"Middle Africa",30,"Freight loaded and discharged",84457.345,,
2000,5123,"Southern Africa",11,"Crude oil loaded",436.25,,
2000,5123,"Southern Africa",12,"Other tanker trade loaded",5664.803,,
2000,5123,"Southern Africa",13,"Dry cargo loaded",86407.514,,
2000,5123,"Southern Africa",10,"Total goods loaded",92508.567,,
2000,5123,"Southern Africa",21,"Crude oil discharged",17019.747,,
2000,5123,"Southern Africa",22,"Other tanker trade discharged",2633.441,,
2000,5123,"Southern Africa",23,"Dry cargo discharged",14257.116,,
2000,5123,"Southern Africa",20,"Total goods discharged",33910.304,,
2000,5123,"Southern Africa",30,"Freight loaded and discharged",126418.871,,
2000,5124,"Western Africa",11,"Crude oil loaded",95879.038,,
2000,5124,"Western Africa",12,"Other tanker trade loaded",8336.445,,
2000,5124,"Western Africa",13,"Dry cargo loaded",24380.452,,
2000,5124,"Western Africa",10,"Total goods loaded",128595.935,,
2000,5124,"Western Africa",21,"Crude oil discharged",6029.735,,
2000,5124,"Western Africa",22,"Other tanker trade discharged",5736.12,,
2000,5124,"Western Africa",23,"Dry cargo discharged",23969.273,,
2000,5124,"Western Africa",20,"Total goods discharged",35735.128,,
2000,5124,"Western Africa",30,"Freight loaded and discharged",164331.063,,
2000,5200,"Americas",11,"Crude oil loaded",229450.789,,
2000,5200,"Americas",12,"Other tanker trade loaded",153813.909,,
2000,5200,"Americas",13,"Dry cargo loaded",880086.89,,
2000,5200,"Americas",10,"Total goods loaded",1263351.588,,
2000,5200,"Americas",21,"Crude oil discharged",502327.751,,
2000,5200,"Americas",22,"Other tanker trade discharged",210969.679,,
2000,5200,"Americas",23,"Dry cargo discharged",420621.282,,
2000,5200,"Americas",20,"Total goods discharged",1133918.712,,
2000,5200,"Americas",30,"Freight loaded and discharged",2397270.3,,
2000,5210,"Northern America",11,"Crude oil loaded",6312.819,,
2000,5210,"Northern America",12,"Other tanker trade loaded",58685.719,,
2000,5210,"Northern America",13,"Dry cargo loaded",452742.978,,
2000,5210,"Northern America",10,"Total goods loaded",517741.516,,
2000,5210,"Northern America",21,"Crude oil discharged",434808.557,,
2000,5210,"Northern America",22,"Other tanker trade discharged",131758.274,,
2000,5210,"Northern America",23,"Dry cargo discharged",231793.256,,
2000,5210,"Northern America",20,"Total goods discharged",798360.087,,
2000,5210,"Northern America",30,"Freight loaded and discharged",1316101.603,,
2000,5220,"Latin America and the Caribbean",11,"Crude oil loaded",223137.97,,
2000,5220,"Latin America and the Caribbean",12,"Other tanker trade loaded",95127.568,,
2000,5220,"Latin America and the Caribbean",13,"Dry cargo loaded",427326.992,,
2000,5220,"Latin America and the Caribbean",10,"Total goods loaded",745592.53,,
2000,5220,"Latin America and the Caribbean",21,"Crude oil discharged",67519.193,,
2000,5220,"Latin America and the Caribbean",22,"Other tanker trade discharged",79211.406,,
2000,5220,"Latin America and the Caribbean",23,"Dry cargo discharged",188828.027,,
2000,5220,"Latin America and the Caribbean",20,"Total goods discharged",335558.626,,
2000,5220,"Latin America and the Caribbean",30,"Freight loaded and discharged",1081151.155,,
2000,5221,"Caribbean",11,"Crude oil loaded",3424.492,,
2000,5221,"Caribbean",12,"Other tanker trade loaded",26556.125,,
2000,5221,"Caribbean",13,"Dry cargo loaded",18304.714,,
2000,5221,"Caribbean",10,"Total goods loaded",48285.331,,
2000,5221,"Caribbean",21,"Crude oil discharged",34959.697,,
2000,5221,"Caribbean",22,"Other tanker trade discharged",15278.71,,
2000,5221,"Caribbean",23,"Dry cargo discharged",19949.221,,
2000,5221,"Caribbean",20,"Total goods discharged",70187.628,,
2000,5221,"Caribbean",30,"Freight loaded and discharged",118472.958,,
2000,5222,"Central America",11,"Crude oil loaded",84454.189,,
2000,5222,"Central America",12,"Other tanker trade loaded",7430.616,,
2000,5222,"Central America",13,"Dry cargo loaded",43856.445,,
2000,5222,"Central America",10,"Total goods loaded",135741.25,,
2000,5222,"Central America",21,"Crude oil discharged",4966.957,,
2000,5222,"Central America",22,"Other tanker trade discharged",31045.652,,
