year,deaths,conflict_rows,missing_estimates,source_series,source_version,population,rate_per_100k,unit
1946,295541.0,17,5,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2402301767,12.302409466612193,"battle deaths per 100,000 people per year"
1947,396708.0,14,5,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2421291820,16.38414654207191,"battle deaths per 100,000 people per year"
1948,472363.0,20,7,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2441897177,19.3440986970763,"battle deaths per 100,000 people per year"
1949,434321.0,20,12,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2467923023,17.598644526280268,"battle deaths per 100,000 people per year"
1950,546501.0,18,11,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2493092852,21.920603541163256,"battle deaths per 100,000 people per year"
1951,393740.0,14,8,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2536927034,15.520351776897025,"battle deaths per 100,000 people per year"
1952,147221.0,14,7,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2584086340,5.697216757858022,"battle deaths per 100,000 people per year"
1953,96986.0,16,8,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2634106241,3.6819319771696333,"battle deaths per 100,000 people per year"
1954,69107.0,15,6,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2685894857,2.5729599883589187,"battle deaths per 100,000 people per year"
1955,29888.0,13,7,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2740213796,1.0907178134650921,"battle deaths per 100,000 people per year"
1956,39805.0,17,7,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2795409991,1.4239413942196217,"battle deaths per 100,000 people per year"
1957,31331.0,17,10,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2852618331,1.0983242889355183,"battle deaths per 100,000 people per year"
1958,45157.0,18,11,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2911249671,1.5511208279325899,"battle deaths per 100,000 people per year"
1959,50958.0,16,8,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,2965950350,1.718100237247734,"battle deaths per 100,000 people per year"
1960,33396.0,17,10,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,3015470889,1.1074887216395874,"battle deaths per 100,000 people per year"
1961,43842.0,21,12,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,3064869675,1.4304686544298169,"battle deaths per 100,000 people per year"
1962,52012.0,21,11,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,3123374312,1.665250296775829,"battle deaths per 100,000 people per year"
1963,63100.0,20,13,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,3192807826,1.9763168796492419,"battle deaths per 100,000 people per year"
1964,56286.0,24,15,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,3264487343,1.7241910929963744,"battle deaths per 100,000 people per year"
1965,90935.0,27,14,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,3334533710,2.727067947380265,"battle deaths per 100,000 people per year"
1966,88243.0,29,16,PRIO Battle Deaths Dataset 3.1,PRIO 3.1; cited Lacina & Gleditsch 2005 family,3404041131,2.592301226809119,"battle deaths per 100,000 people per year"
