year,rate,series,source_series
2016,1.1801741,England,OWID/UNODC successor export
2017,1.1864921,England,OWID/UNODC successor export
2018,1.0843123,England,OWID/UNODC successor export
2019,1.1372844,England,OWID/UNODC successor export
2020,0.9326902,England,OWID/UNODC successor export
2021,1.1476983,England,OWID/UNODC successor export
2016,5.28982,United States,OWID/UNODC successor export
2017,5.205827,United States,OWID/UNODC successor export
2018,4.886937,United States,OWID/UNODC successor export
2019,4.934722,United States,OWID/UNODC successor export
2020,6.3546557,United States,OWID/UNODC successor export
2021,6.779722,United States,OWID/UNODC successor export
2022,6.5126743,United States,OWID/UNODC successor export
2023,5.7634077,United States,OWID/UNODC successor export
2016,5.9631624,World,OWID/UNODC successor export
2017,5.891153,World,OWID/UNODC successor export
2018,5.6498275,World,OWID/UNODC successor export
2019,5.394625,World,OWID/UNODC successor export
2020,5.3042336,World,OWID/UNODC successor export
2021,5.525062,World,OWID/UNODC successor export
2022,5.2951646,World,OWID/UNODC successor export
2023,5.2296734,World,OWID/UNODC successor export
