Year,deaths,"Air transport, passengers carried",deaths_per_million_passengers
1970,1457,310441400.0,4.693317321723198
1971,1433,331604900.0,4.321407795843789
1973,1994,401571800.0,4.965488114454252
1974,1965,421145200.0,4.665849213050511
1975,1181,432276500.0,2.7320476593106493
1976,1599,471773400.0,3.3893390343754013
1977,1302,513269280.0,2.5366801613375345
1978,1256,576090000.0,2.1802148969779025
1979,1750,648400600.0,2.698948767166471
1980,1255,641872900.0,1.955215744425415
1981,885,640619400.0,1.381475490751607
1982,1156,654482100.0,1.7662820724967114
1983,787,685101600.0,1.1487347278126339
1984,655,732410300.0,0.8943074667300556
1985,2002,783198100.0,2.556185976447083
1986,805,842594300.0,0.9553826794223507
1987,1101,904838100.0,1.2167922637209905
1988,1136,953896000.0,1.1909055075186394
1989,1519,983208800.0,1.5449414203778487
1990,632,1024976640.0,0.6165994183047918
1991,1144,1133228200.0,1.009505411178437
1992,1532,1145436700.0,1.3374811545675112
1993,1120,1142265200.0,0.9805078540430017
1994,1430,1233233400.0,1.1595534146253255
1995,1059,1302891600.0,0.8128074507503157
1996,1837,1390963700.0,1.3206671029589054
1997,1153,1455104300.0,0.7923830614753871
1998,1186,1466961800.0,0.8084736766833329
1999,478,1562256300.0,0.305967721173536
2000,1144,1674064800.0,0.6833666175885187
2001,877,1655230200.0,0.5298356687788804
2002,995,1627404900.0,0.6114028537089939
2003,687,1665309300.0,0.41253597755083693
2004,458,1888695300.0,0.242495441165126
2005,1067,1969590800.0,0.5417368927596534
2006,904,2072414000.0,0.4362062792472932
2007,774,2209136400.0,0.35036315548465
2008,591,2208218600.0,0.26763654649046065
2009,762,2249728500.0,0.3387075373761767
2010,943,2669414400.0,0.35326099986573833
2011,522,2833214000.0,0.18424305400156854
2012,475,2943248000.0,0.16138633237837927
2013,232,3100200700.0,0.07483386478817322
2014,692,3285080800.0,0.21064930883891805
2015,186,3525115100.0,0.05276423456357496
2016,258,3760774400.0,0.06860289200011573
2017,57,4025616100.0,0.014159323339351708
2018,651,4293921500.0,0.15160966496476472
