year,series,deaths,population,rate
2016,United States,68,329179423,0.020657427302191972
2017,United States,98,332204657,0.029499887474485342
2018,United States,45,335056492,0.013430570985623523
2019,United States,53,337790069,0.015690218530373667
2020,United States,12,339436156,0.0035352745392273413
2021,United States,26,340161438,0.007643429588276847
2016,Western Europe,170,421580312,0.04032446372875211
2017,Western Europe,83,423221594,0.01961147568476858
2018,Western Europe,25,424771347,0.005885519392154292
2019,Western Europe,23,426292735,0.005395353500453157
2020,Western Europe,38,427292848,0.008893198231111043
2021,Western Europe,8,428077749,0.0018688193952356071
2016,World,9969,7558554527,0.1318902968072747
2017,World,8927,7645617952,0.11675969236292805
2018,World,6938,7729902779,0.08975533326044695
2019,World,8001,7811293699,0.10242861564690987
2020,World,8818,7887001289,0.11180421654423289
2021,World,4934,7954448387,0.06202818548755266
