year,score,provider_generated,source_version,unit
1800,-6.944444444444445,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1801,-6.944444444444445,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1802,-6.944444444444445,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1803,-6.944444444444445,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1804,-6.944444444444445,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1805,-6.944444444444445,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1806,-6.944444444444445,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1807,-6.916666666666667,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1808,-6.880952380952381,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1809,-6.511904761904763,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1810,-6.476190476190476,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1811,-6.575187969924813,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1812,-6.488721804511278,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1813,-6.454887218045113,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1814,-6.25,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1815,-6.340909090909091,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1816,-6.318181818181818,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1817,-6.295454545454546,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1818,-6.217391304347826,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1819,-6.195652173913044,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1820,-5.833333333333333,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1821,-5.72,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1822,-5.615384615384615,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1823,-5.6923076923076925,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1824,-5.62962962962963,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1825,-5.448275862068965,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1826,-5.379310344827586,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1827,-5.3,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1828,-5.233333333333333,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1829,-5.233333333333333,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1830,-4.942857142857143,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1831,-4.942857142857143,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1832,-4.75,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1833,-4.75,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1834,-4.75,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1835,-5.0,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1836,-4.777777777777778,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1837,-4.583333333333333,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1838,-4.315789473684211,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1839,-4.2,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1840,-4.225,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1841,-4.048780487804878,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1842,-4.146341463414634,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1843,-4.146341463414634,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1844,-4.142857142857143,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1845,-4.142857142857143,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1846,-4.071428571428571,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1847,-3.883720930232558,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1848,-3.1818181818181817,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1849,-2.909090909090909,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1850,-2.886363636363636,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1851,-2.9318181818181817,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1852,-3.136363636363636,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1853,-2.840909090909091,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1854,-2.909090909090909,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1855,-2.7555555555555555,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1856,-2.7555555555555555,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1857,-2.4782608695652173,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1858,-2.6956521739130435,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1859,-2.6382978723404253,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1860,-2.574468085106383,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1861,-2.4791666666666665,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1862,-2.3541666666666665,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1863,-2.2708333333333335,True,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1864,-2.3541666666666665,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1865,-2.3958333333333335,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1866,-2.5416666666666665,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1867,-2.176470588235294,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1868,-2.25,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1869,-2.1153846153846154,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1870,-2.0,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1871,-1.7058823529411764,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1872,-1.6274509803921569,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1873,-1.6274509803921569,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1874,-1.5294117647058822,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1875,-1.431372549019608,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1876,-1.568627450980392,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1877,-1.607843137254902,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1878,-1.6274509803921569,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
1879,-1.5,False,"HumanProgress2560 July18,2016",HumanProgress World average; polity score -10 to10
