year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows
1800,-7.363636363636363,-7.363636363636363,22,22,22
1801,-7.238095238095238,-7.238095238095238,21,21,22
1802,-7.363636363636363,-7.363636363636363,22,22,22
1803,-7.363636363636363,-7.363636363636363,22,22,22
1804,-7.363636363636363,-7.363636363636363,22,22,22
1805,-7.238095238095238,-7.238095238095238,21,21,22
1806,-7.363636363636363,-7.363636363636363,22,22,23
1807,-7.238095238095238,-7.238095238095238,21,21,23
1808,-7.1,-7.1,20,20,23
1809,-6.684210526315789,-6.8,19,20,23
1810,-6.684210526315789,-6.8,19,20,23
1811,-6.8,-6.904761904761905,20,21,24
1812,-6.857142857142857,-6.857142857142857,21,21,24
1813,-6.857142857142857,-6.857142857142857,21,21,24
1814,-6.782608695652174,-6.782608695652174,23,23,25
1815,-7.366666666666666,-7.366666666666666,30,30,31
1816,-7.451612903225806,-7.451612903225806,31,31,32
1817,-7.451612903225806,-7.451612903225806,31,31,32
1818,-7.34375,-7.34375,32,32,33
1819,-7.242424242424242,-7.242424242424242,33,33,34
1820,-6.852941176470588,-6.742857142857143,34,35,35
1821,-6.694444444444445,-6.594594594594595,36,37,37
1822,-6.594594594594595,-6.5,37,38,38
1823,-6.552631578947368,-6.552631578947368,38,38,38
1824,-6.358974358974359,-6.275,39,40,40
1825,-6.2439024390243905,-6.119047619047619,41,42,42
1826,-6.2439024390243905,-6.071428571428571,41,42,42
1827,-6.214285714285714,-6.0,42,43,43
1828,-6.046511627906977,-6.046511627906977,43,43,43
1829,-6.071428571428571,-6.046511627906977,42,43,43
1830,-5.76595744680851,-5.75,47,48,48
1831,-5.717391304347826,-5.6875,46,48,48
1832,-5.553191489361702,-5.530612244897959,47,49,49
1833,-5.586956521739131,-5.541666666666667,46,48,48
1834,-5.630434782608695,-5.541666666666667,46,48,48
1835,-5.729166666666667,-5.729166666666667,48,48,48
1836,-5.617021276595745,-5.5625,47,48,48
1837,-5.416666666666667,-5.416666666666667,48,48,48
1838,-5.18,-5.18,50,50,50
1839,-5.196078431372549,-5.196078431372549,51,51,51
1840,-5.196078431372549,-5.196078431372549,51,51,51
1841,-5.019607843137255,-5.019607843137255,51,51,52
