year,entity_id,value,series,unit,source_version
1949,171,-1.85819,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1949,128,-1.49141,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1949,127,-1.19387,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1949,355,0.021255326,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1949,102,1.30997,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1950,355,0.030353178,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1950,102,1.38186,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1950,171,-2.02714,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1950,128,-1.54107,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1950,127,-1.24013,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1951,171,-2.02442,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1951,128,-1.57673,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1951,127,-1.08477,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1951,355,0.055583203,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1951,102,1.44482,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1952,355,0.073189717,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1952,102,1.51268,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1952,171,-1.88265,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1952,128,-1.60003,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1952,127,-0.886857,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1953,171,-1.7985,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1953,128,-1.62953,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1953,127,-0.647781,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1953,355,0.071296735,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1953,102,1.58148,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1954,355,0.039069662,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1954,102,1.63329,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1954,171,-1.76148,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1954,128,-1.61019,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1954,127,-0.503615,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1955,171,-1.73417,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1955,128,-1.61411,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1955,127,-0.361412,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1955,355,0.042201553,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
