year,value,source_url,source_file,unit,source_version
2016,104,https://www.amnesty.org/en/latest/news/2017/04/death-penalty-2016-facts-and-figures/,figures/14-3/data/raw/amnesty_2016.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2016; downloaded2026-09-10
2017,106,https://www.amnesty.org/en/latest/news/2018/04/death-penalty-facts-and-figures-2017/,figures/14-3/data/raw/amnesty_2017.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2017; downloaded2026-09-10
2018,106,https://www.amnesty.org/en/latest/news/2019/04/death-penalty-facts-and-figures-2018/,figures/14-3/data/raw/amnesty_2018.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2018; downloaded2026-09-10
2019,106,https://www.amnesty.org/en/latest/news/2020/04/death-penalty-in-2019-facts-and-figures/,figures/14-3/data/raw/amnesty_2019.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2019; downloaded2026-09-10
2020,108,https://www.amnesty.org/en/latest/news/2021/04/death-penalty-in-2020-facts-and-figures-2/,figures/14-3/data/raw/amnesty_2020.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2020; downloaded2026-09-10
2021,108,https://www.amnesty.org/en/latest/news/2022/05/death-penalty-2021-facts-and-figures/,figures/14-3/data/raw/amnesty_2021.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2021; downloaded2026-09-10
2022,112,https://www.amnesty.org/en/latest/news/2023/05/death-penalty-2022-executions-skyrocket/,figures/14-3/data/raw/amnesty_2022.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2022; downloaded2026-09-10
2023,112,https://www.amnesty.org/en/latest/news/2024/05/global-executions-soar-highest-number-in-decade/,figures/14-3/data/raw/amnesty_2023.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2023; downloaded2026-09-10
2024,113,https://www.amnesty.org/en/latest/news/2025/04/global-recorded-executions-hit-their-highest-figure-since-2015/,figures/14-3/data/raw/amnesty_2024.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2024; downloaded2026-09-10
2025,113,https://www.amnesty.org/en/latest/news/2026/05/death-penalty-in-2025-facts-and-figures/,figures/14-3/data/raw/amnesty_2025.html,"Countries abolitionist for all crimes, Amnesty year-end",Annual reporting year2025; downloaded2026-09-10
