year,end_year,executions,years_averaged,population,value,period_type,population_version,unit
1780,1789,285,10,3354791.5,0.8495311854700955,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1790,1799,219,10,4618848.5,0.4741441508635756,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1800,1809,206,10,6274182.0,0.32832965317231794,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1810,1819,197,10,8439167.0,0.2334353615706384,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1820,1829,387,10,11252236.5,0.34393162639267316,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1830,1839,345,10,14967736.5,0.2304957733589177,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1840,1849,361,10,20130664.5,0.17932840716708584,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1850,1859,592,10,27317598.5,0.21671011820457056,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1860,1869,559,10,35630885.0,0.15688636417534957,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1870,1879,631,10,45003829.0,0.140210291884275,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1880,1889,1005,10,56584487.5,0.177610515602885,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1890,1899,1098,10,69595967.0,0.15776776260612915,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1900,1909,1280,10,84220332.0,0.15198230280070613,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1910,1919,1095,10,99125016.5,0.11046656420985312,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1920,1929,1289,10,114612080.5,0.11246632941106065,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1930,1939,1679,10,127683596.5,0.13149692255104986,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1940,1949,1296,10,141745183.5,0.09143167817056726,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1950,1959,724,10,165324486.5,0.04379266588558254,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1960,1969,192,10,191312603.0,0.010035930565431698,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1970,1979,3,10,214922115.0,0.00013958544936150475,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1980,1989,117,10,237630250.5,0.004923615564677444,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
1990,1999,478,10,265071452.5,0.01803287360791898,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
2000,2009,590,10,295085070.5,0.019994234171193014,decade_mean,Census2011decennial endpoints;1780Census1960historical estimate,Executions per100000 residents peryear
2010,2010,46,1,309348193.0,0.014869975335527499,annual,Census vintage2016,Executions per100000 residents peryear
2011,2011,43,1,311663358.0,0.013796937912733391,annual,Census vintage2016,Executions per100000 residents peryear
2012,2012,43,1,313998379.0,0.013694338211854272,annual,Census vintage2016,Executions per100000 residents peryear
2013,2013,39,1,316204908.0,0.012333774401755964,annual,Census vintage2016,Executions per100000 residents peryear
2014,2014,35,1,318563456.0,0.010986822041508741,annual,Census vintage2016,Executions per100000 residents peryear
2015,2015,28,1,320896618.0,0.008725551604286463,annual,Census vintage2016,Executions per100000 residents peryear
2016,2016,20,1,323127513.0,0.006189506988840037,annual,Census vintage2016,Executions per100000 residents peryear
