source_row,year,state,identical_visible_fields
3,1840,GA,True
4,1840,GA,True
5,1840,GA,True
6,1840,GA,True
7,1840,GA,True
8,1770,NC,False
9,1770,NC,False
10,1770,NC,False
11,1851,AL,False
12,1859,AL,True
13,1859,AL,True
14,1777,VA,False
15,1784,NC,False
16,1850,AL,False
17,1739,NC,False
18,1838,SC,False
19,1856,TN,True
20,1856,TN,True
21,1856,TN,True
22,1856,TN,True
23,1744,SC,False
24,1769,VA,False
25,1841,LA,False
26,1831,NC,False
27,1838,SC,True
28,1838,SC,True
29,1838,SC,True
30,1839,LA,True
31,1839,LA,True
32,1840,LA,True
33,1840,LA,True
34,1839,LA,True
35,1772,NY,False
36,1772,SC,False
37,1770,NC,True
38,1770,NC,True
39,1770,NC,True
40,1739,NC,True
41,1739,NC,True
42,1850,AL,False
43,1841,AL,False
44,1848,AL,False
45,1742,SC,False
46,1763,MI,False
47,1861,VA,False
48,1850,AL,False
49,1754,SC,False
50,1857,AL,False
51,1856,MS,False
52,1859,AL,False
53,1840,LA,False
54,1723,LA,False
55,1758,NC,False
56,1849,AL,False
57,1776,LA,True
58,1776,LA,True
59,1857,AL,False
60,1779,SC,False
61,1761,SC,False
62,1781,VA,False
63,1733,SC,False
64,1791,SC,False
65,1802,NY,False
66,1739,NC,False
67,1863,VA,False
68,1741,MA,False
69,1785,NC,False
70,1839,LA,True
71,1839,LA,True
72,1785,NC,False
73,1840,LA,False
74,1786,NC,False
75,1857,VA,False
76,1857,VA,False
77,1782,NC,False
78,1857,VA,False
79,1860,GA,False
80,1840,LA,True
81,1840,LA,True
82,1855,AL,False
83,1708,NY,True
84,1708,NY,False
85,1708,NY,True
86,1787,WV,False
87,1850,AL,False
88,1852,AL,False
89,1856,AL,False
90,1856,AL,False
91,1795,VA,False
92,1840,LA,False
93,1785,NC,False
94,1852,AL,False
95,1836,AL,True
96,1836,AL,True
97,1782,VA,False
98,1739,NJ,False
99,1771,NC,False
100,1781,VA,False
101,1770,VA,False
102,1805,NC,False
103,1805,NC,True
104,1805,NC,True
105,1805,NC,True
106,1783,NC,False
107,1785,NC,False
108,1857,AL,False
109,1796,VA,False
110,1840,AL,False
111,1784,NC,False
112,1755,MD,False
113,1784,NC,False
114,1837,LA,False
115,1836,AL,False
116,1835,LA,False
117,1835,LA,False
118,1850,AL,False
119,1784,NC,False
120,1862,TX,False
121,1859,AL,False
122,1848,AL,False
123,1784,VA,False
124,1857,AL,False
125,1733,SC,False
126,1850,AL,False
127,1853,AL,False
