year,executions,population,population_version,value,unit
2010,46,309321666,Census vintage2019,0.014871250564129575,Executions per100000 residents peryear
2011,43,311556874,Census vintage2019,0.013801653434229797,Executions per100000 residents peryear
2012,43,313830990,Census vintage2019,0.01370164240312915,Executions per100000 residents peryear
2013,39,315993715,Census vintage2019,0.012342017625255617,Executions per100000 residents peryear
2014,35,318301008,Census vintage2019,0.010995880980684799,Executions per100000 residents peryear
2015,28,320635163,Census vintage2019,0.008732666666381814,Executions per100000 residents peryear
2016,20,322941311,Census vintage2019,0.006193075744341671,Executions per100000 residents peryear
2017,23,324985539,Census vintage2019,0.0070772379813490716,Executions per100000 residents peryear
2018,25,326687501,Census vintage2019,0.0076525731543062615,Executions per100000 residents peryear
2019,22,328239523,Census vintage2019,0.006702422608626566,Executions per100000 residents peryear
2020,17,331578104,Census vintage2025,0.005126997167460731,Executions per100000 residents peryear
2021,11,332100166,Census vintage2025,0.003312253689147509,Executions per100000 residents peryear
2022,18,333996304,Census vintage2025,0.005389281193961954,Executions per100000 residents peryear
2023,24,336755052,Census vintage2025,0.007126841856555132,Executions per100000 residents peryear
2024,25,340003797,Census vintage2025,0.007352859062335707,Executions per100000 residents peryear
2025,47,341784857,Census vintage2025,0.013751340656967726,Executions per100000 residents peryear
