year,series,percentage,visual_label,source_question,source_type
1987,Agree: Women should return to their traditional roles in society,51,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1988,Agree: Women should return to their traditional roles in society,51,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1989,Agree: Women should return to their traditional roles in society,48,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1990,Agree: Women should return to their traditional roles in society,49,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1991,Agree: Women should return to their traditional roles in society,39,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1992,Agree: Women should return to their traditional roles in society,40,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1994,Agree: Women should return to their traditional roles in society,39,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1997,Agree: Women should return to their traditional roles in society,33,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1999,Agree: Women should return to their traditional roles in society,32,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
2002,Agree: Women should return to their traditional roles in society,36,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
2003,Agree: Women should return to their traditional roles in society,33,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
2007,Agree: Women should return to their traditional roles in society,28,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
2009,Agree: Women should return to their traditional roles in society,28,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
2012,Agree: Women should return to their traditional roles in society,21,Agree: Women should return to their traditional roles in society,Q41e School boards ought to have the right to fire teachers who are known homosexuals (agree),official Pew topline table transcription
1987,Agree: School boards ought to have the right to fire teachers who are known homosexuals,30,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1988,Agree: School boards ought to have the right to fire teachers who are known homosexuals,31,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1989,Agree: School boards ought to have the right to fire teachers who are known homosexuals,26,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1990,Agree: School boards ought to have the right to fire teachers who are known homosexuals,30,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1991,Agree: School boards ought to have the right to fire teachers who are known homosexuals,23,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1992,Agree: School boards ought to have the right to fire teachers who are known homosexuals,23,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1994,Agree: School boards ought to have the right to fire teachers who are known homosexuals,30,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1997,Agree: School boards ought to have the right to fire teachers who are known homosexuals,24,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1999,Agree: School boards ought to have the right to fire teachers who are known homosexuals,25,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
2002,Agree: School boards ought to have the right to fire teachers who are known homosexuals,20,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
2003,Agree: School boards ought to have the right to fire teachers who are known homosexuals,24,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
2007,Agree: School boards ought to have the right to fire teachers who are known homosexuals,20,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
2009,Agree: School boards ought to have the right to fire teachers who are known homosexuals,19,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
2012,Agree: School boards ought to have the right to fire teachers who are known homosexuals,18,Agree: School boards ought to have the right to fire teachers who are known homosexuals,Q41j Women should return to their traditional roles in society (agree),official Pew topline table transcription
1987,Disagree: I think it's all right for blacks and whites to date each other,46,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
1988,Disagree: I think it's all right for blacks and whites to date each other,46,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
