year,series,term,percentage_of_peak,value
2018,Homophobic jokes,fag jokes,4.638888888888888,6.333333333333333
2019,Homophobic jokes,fag jokes,3.388888888888889,2.5
2020,Homophobic jokes,fag jokes,1.6388888888888886,1.3333333333333333
2021,Homophobic jokes,fag jokes,0.8055555555555555,1.0833333333333333
2022,Homophobic jokes,fag jokes,0.3611111111111111,0.0
2023,Homophobic jokes,fag jokes,0.0,0.0
2024,Homophobic jokes,fag jokes,0.0,0.0
2025,Homophobic jokes,fag jokes,0.0,0.0
2026,Homophobic jokes,fag jokes,0.0,0.0
2018,Racist jokes,nigger jokes,6.472222222222222,6.416666666666667
2019,Racist jokes,nigger jokes,4.694444444444445,4.416666666666667
2020,Racist jokes,nigger jokes,3.277777777777778,3.25
2021,Racist jokes,nigger jokes,2.194444444444444,2.1666666666666665
2022,Racist jokes,nigger jokes,1.472222222222222,1.1666666666666667
2023,Racist jokes,nigger jokes,1.0833333333333333,1.0833333333333333
2024,Racist jokes,nigger jokes,1.0277777777777777,1.0
2025,Racist jokes,nigger jokes,0.9583333333333334,1.0
2026,Racist jokes,nigger jokes,0.9375,0.875
2018,Sexist jokes,bitch jokes,21.916666666666668,20.333333333333332
2019,Sexist jokes,bitch jokes,19.055555555555554,19.416666666666668
2020,Sexist jokes,bitch jokes,16.194444444444443,17.416666666666668
2021,Sexist jokes,bitch jokes,13.138888888888886,11.75
2022,Sexist jokes,bitch jokes,10.055555555555552,10.25
2023,Sexist jokes,bitch jokes,8.249999999999998,8.166666666666666
2024,Sexist jokes,bitch jokes,6.388888888888886,6.333333333333333
2025,Sexist jokes,bitch jokes,5.833333333333331,4.666666666666667
2026,Sexist jokes,bitch jokes,5.58333333333333,6.5
