year,series,incidents,source_file,source_kind
1996,Anti-black,3674,fbi_hate_crime_1996.pdf,official FBI annual report
1996,Anti-white,1106,fbi_hate_crime_1996.pdf,official FBI annual report
1996,Anti-Asian,355,fbi_hate_crime_1996.pdf,official FBI annual report
1996,Anti-Jewish,1109,fbi_hate_crime_1996.pdf,official FBI annual report
1996,Anti-Islamic,27,fbi_hate_crime_1996.pdf,official FBI annual report
1997,Anti-black,3120,fbi_hate_crime_1997.pdf,official FBI annual report
1997,Anti-white,993,fbi_hate_crime_1997.pdf,official FBI annual report
1997,Anti-Asian,347,fbi_hate_crime_1997.pdf,official FBI annual report
1997,Anti-Jewish,1087,fbi_hate_crime_1997.pdf,official FBI annual report
1997,Anti-Islamic,28,fbi_hate_crime_1997.pdf,official FBI annual report
1998,Anti-black,2901,fbi_hate_crime_1998.pdf,official FBI annual report
1998,Anti-white,792,fbi_hate_crime_1998.pdf,official FBI annual report
1998,Anti-Asian,293,fbi_hate_crime_1998.pdf,official FBI annual report
1998,Anti-Jewish,1081,fbi_hate_crime_1998.pdf,official FBI annual report
1998,Anti-Islamic,21,fbi_hate_crime_1998.pdf,official FBI annual report
1999,Anti-black,2958,fbi_hate_crime_1999.pdf,official FBI annual report
1999,Anti-white,781,fbi_hate_crime_1999.pdf,official FBI annual report
1999,Anti-Asian,298,fbi_hate_crime_1999.pdf,official FBI annual report
1999,Anti-Jewish,1109,fbi_hate_crime_1999.pdf,official FBI annual report
1999,Anti-Islamic,32,fbi_hate_crime_1999.pdf,official FBI annual report
2000,Anti-black,2904,fbi_cius_2000_section_2.pdf,official FBI annual table
2000,Anti-white,875,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2000,Anti-Asian,281,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2000,Anti-Jewish,1109,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2000,Anti-Islamic,28,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2001,Anti-black,2899,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2001,Anti-white,891,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2001,Anti-Asian,280,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2001,Anti-Jewish,1043,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2001,Anti-Islamic,481,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2002,Anti-black,2486,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2002,Anti-white,719,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2002,Anti-Asian,217,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2002,Anti-Jewish,931,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2002,Anti-Islamic,155,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2003,Anti-black,2548,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2003,Anti-white,830,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2003,Anti-Asian,231,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2003,Anti-Jewish,927,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2003,Anti-Islamic,149,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2004,Anti-black,2731,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2004,Anti-white,829,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2004,Anti-Asian,217,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2004,Anti-Jewish,954,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2004,Anti-Islamic,156,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2005,Anti-black,2630,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2005,Anti-white,828,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2005,Anti-Asian,199,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2005,Anti-Jewish,848,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2005,Anti-Islamic,128,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2006,Anti-black,2640,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2006,Anti-white,890,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
