Bureau of Justice Statistics,,,,,,,,,,,
Filename: ipvav9311at01,,,,,,,,,,,
"Appendix table 1. Number and rate of intimate partner violence, by victim's sex, 1993–2011",,,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 1. Number and rate of intimate partner violence, by victim's sex, 1993–2011",,,,,,,,,,,
,Female,,,,,,Male,,,,
,,,Rate/a,,,,,,Rate/a,,
Year,Population,Total intimate partner violence,Overall,Serious violence ,Simple assault,,Population,Total intimate partner violence,Overall,Serious violence,Simple assault
1994,"109,437,100","1,766,700",16.1,5.9,10.3,,"102,584,300","303,460",3,1.1,1.9
1995,"110,590,240","1,785,590",16.1,4.9,11.3,,"103,518,050","272,450",2.6,0.8,1.8
1996,"111,660,070","1,676,990",15,4.2,10.8,,"104,497,420","240,280",2.3,0.9,1.4
1997,"112,710,280","1,644,100",14.6,4.8,9.8,,"105,826,410","185,650",1.8,0.6,1.1
1998,"113,762,940","1,499,130",13.2,4.2,8.9,,"107,097,100","202,720",1.9,0.6,1.3
1999,"115,100,630","1,250,570",10.9,3.6,7.3,,"108,124,040","229,510",2.1,0.6,1.6
2000,"116,451,730","974,160",8.4,2.7,5.7,,"109,234,760","173,190",1.6,0.3,1.3
2001,"117,564,090","882,720",7.5,2.4,5.1,,"110,445,860","112,450",1,0.3,0.7
2002,"118,743,930","889,740",7.5,2.5,5,,"111,658,350","120,350",1.1,0.5,0.6
2003,"121,306,110","852,220",7,2.8,4.2,,"114,141,510","132,810",1.2,0.5,0.7
2004,"123,740,880","861,380",7,2.9,4,,"116,763,970","174,620",1.5,0.5,1
2005,"124,886,860","718,590",5.8,1.9,3.8,,"118,217,640","205,270",1.7,0.7,1
2006/b,"126,162,070","842,410",6.7,2.4,4.3,,"119,707,120","218,220",1.8,1,0.8
2007/b,"127,494,730","922,380",7.2,2.6,4.6,,"121,294,250","183,150",1.5,0.7,0.8
2008,"128,696,840","847,700",6.6,2.3,4.3,,"122,596,860","156,900",1.3,0.5,0.8
2009,"129,617,960","914,480",7.1,2,5,,"123,556,100","157,050",1.3,0.5,0.8
2010,"130,519,420","775,650",5.9,1.6,4.3,,"124,514,350","130,890",1.1,0.4,0.7
2011,"131,212,660","620,850",4.7,1.6,3.1,,"125,539,420","191,540",1.5,0.4,1.1
"Note: Estimates based on 2-year rolling averages beginning in 1993. Serious violent crime includes rape or sexual assault, robbery, and aggravated assault. Intimates include current or former spouses, boyfriends, and girlfriends. See appendix table 2 for standard errors.",,,,,,,,,,,
"a/Rates calculated per 1,000 persons age 12 or older. ",,,,,,,,,,,
"b/Due to methodological changes, use caution when comparing 2006 NCVS criminal vicitmization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,,,,,,
