Bureau of Justice Statistics,,,,,,,,,
Filename: ipvav9311at02,,,,,,,,,
"Appendix table 2. Standard errors for appendix table 1: Number and rate of intimate partner violence, by victim's sex, 1993–2011",,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,
Author: Shannan Catalano,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,
 ,,,,,,,,,
"Appendix table 2. Standard errors for appendix table 1: Number and rate of intimate partner violence, by victim's sex, 1993–2011",,,,,,,,,
,Female,,,,,Male,,,
,,Rate,,,,,Rate,,
Year,Total intimate partner violence,Overall,Serious violence ,Simple assault,,Total intimate partner violence,Overall,Serious violence ,Simple assault
1994,"108,988",0.74,0.41,0.57,,"39,334",0.28,0.16,0.22
1995,"95,835",0.64,0.32,0.52,,"32,366",0.23,0.12,0.19
1996,"90,032",0.6,0.28,0.49,,"29,452",0.21,0.12,0.16
1997,"98,113",0.64,0.33,0.51,,"28,156",0.19,0.11,0.15
1998,"101,121",0.66,0.33,0.52,,"31,217",0.21,0.11,0.18
1999,"94,193",0.62,0.32,0.48,,"34,518",0.24,0.11,0.2
2000,"80,028",0.52,0.26,0.41,,"29,548",0.2,0.08,0.18
2001,"74,539",0.47,0.24,0.37,,"22,879",0.15,0.08,0.12
2002,"71,124",0.45,0.23,0.35,,"22,703",0.15,0.1,0.11
2003,"68,689",0.43,0.25,0.31,,"24,033",0.15,0.1,0.11
2004,"71,769",0.43,0.26,0.32,,"29,332",0.18,0.1,0.15
2005,"69,359",0.41,0.22,0.33,,"34,551",0.21,0.13,0.16
2006,"75,870",0.45,0.25,0.35,,"35,759",0.22,0.16,0.14
2007,"79,727",0.47,0.26,0.36,,"31,926",0.19,0.13,0.13
2008,"74,126",0.43,0.23,0.34,,"28,598",0.17,0.1,0.13
2009,"81,508",0.47,0.23,0.39,,"30,352",0.18,0.11,0.14
2010,"76,309",0.44,0.21,0.36,,"27,794",0.16,0.09,0.13
2011,"56,551",0.32,0.17,0.25,,"28,925",0.17,0.08,0.14
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,,,,
