Bureau of Justice Statistics,,,,,
Filename: ipvav9311at06,,,,,
"Appendix table 6. Physical attacks and threats in intimate partner violence against females, 1993–2011",,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,
Author: Shannan Catalano,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of release: 11/21/13,,,,,
 ,,,,,
"Appendix table 6. Physical attacks and threats in intimate partner violence against females, 1993–2011",,,,,
,Total intimate ,Percent ,,Percent threatened ,
Year,partner violence,attacked,,before attack/a,
1994,"1,766,700",69.9,%,58.2,%
1995,"1,785,590",61.5,,54.1,
1996,"1,676,990",60.5,,47.9,
1997,"1,644,100",70,,52,
1998,"1,499,130",68.4,,54.6,
1999,"1,250,570",62.1,,46.1,
2000,"974,160",64.1,,38.8,
2001,"882,720",66.1,,44.9,
2002,"889,740",68,,51.5,
2003,"852,220",66.7,,52.8,
2004,"861,380",67.4,,42.4,
2005,"718,590",72.1,,41.5,
2006/b,"842,410",71.9,,62.9,
2007/b,"922,380",72.2,,62.4,
2008,"847,700",66.4,,54.2,
2009,"914,480",60.4,,53.1,
2010,"775,650",63.1,,50.1,
2011,"620,850",60.8,,43.7,
"Note: Estimates based on 2-year rolling averages beginning in 1993. Intimate partner violence includes rape, sexual assault, robbery, aggravated assault, and simple assault committed by current or former spouses, boyfriends, or girlfriends. See appendix table 7 for standard errors.",,,,,
"a/Victims are asked whether a physical attack occurred, and if so, the nature of the of the physical attack. Victims that were attacked are subsequently asked if the offender threatened them prior to the attack. ",,,,,
"b/Due to methodological changes, use caution when comparing 2006 NCVS criminal vicitmization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information. ",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,
