Bureau of Justice Statistics,,,,
Filename: ipvav9311at07,,,,
"Appendix table 7. Standard errors for appendix table 6: Physical attacks and threats in intimate partner violence against females, 1993–2011",,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,
Author: Shannan Catalano,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of release: 11/21/13,,,,
 ,,,,
"Appendix table 7. Standard errors for appendix table 6: Physical attacks and threats in intimate partner violence against females, 1993–2011",,,,
,,Percent ,,Percent threatened 
Year,Total intimate partner violence,attacked,,before attack
1994,"108,988",1.86,,1.98
1995,"95,835",1.7,,1.73
1996,"90,032",1.71,,1.73
1997,"98,113",1.78,,1.92
1998,"101,121",2.01,,2.13
1999,"94,193",2.36,,2.38
2000,"80,028",2.58,,2.57
2001,"74,539",2.61,,2.7
2002,"71,124",2.45,,2.6
2003,"68,689",2.52,,2.65
2004,"71,769",2.61,,2.71
2005,"69,359",2.92,,3.16
2006,"75,870",2.73,,2.92
2007,"79,727",2.58,,2.78
2008,"74,126",2.75,,2.88
2009,"81,508",2.9,,2.95
2010,"76,309",3.14,,3.23
2011,"56,551",2.94,,2.96
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,
