Bureau of Justice Statistics,,,,,,,
Filename: ipvav9311at09,,,,,,,
"Appendix table 9. Presence of weapons in intimate partner violence against females, 1993–2011",,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,
Author: Shannan Catalano,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 11/21/13,,,,,,,
 ,,,,,,,
"Appendix table 9. Presence of weapons in intimate partner violence against females, 1993–2011",,,,,,,
Year,,Percent,,,,,
,Total intimate ,,,,,Did not know if ,
,partner violence,Total,,Weapon,No weapon,offender had weapon,
1994,"1,766,700",100,%,17.9,77,5.1,
1995,"1,785,590",100,%,13.8,80.6,5.6,
1996,"1,676,990",100,%,16.1,80,4,
1997,"1,644,100",100,%,18.2,77.6,4.2,
1998,"1,499,130",100,%,15.2,81.8,2.9,
1999,"1,250,570",100,%,15.5,80.9,3.5,
2000,"974,160",100,%,12.7,82.9,4.4,
2001,"882,720",100,%,13.4,81.4,5.2,
2002,"889,740",100,%,18.2,77,4.9,
2003,"852,220",100,%,25.5,72.2,2.3, !
2004,"861,380",100,%,25,71.9,3.1, !
2005,"718,590",100,%,18,79.1,2.9, !
2006*,"842,410",100,%,13.4,83.6,3,
2007*,"922,380",100,%,13.2,84,2.8,
2008,"847,700",100,%,17.5,74.7,7.8, !
2009,"914,480",100,%,14.4,75.7,9.9, 
2010,"775,650",100,%,13.4,82.7,3.9, !
2011,"620,850",100,%,17.7,79.4,2.8,
"Note: Estimates based on 2-year rolling averages beginning in 1993. Intimate partner violence includes rape or sexual assault, robbery, aggravated assault, and simple assault committed by current or former spouses, boyfriends, and girlfriends. The weapon category also includes victimizations in which the respondent knew a weapon was present but did not know the type of weapon. See appendix table 10 for standard errors.",,,,,,,
"! Interpret data with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information. ",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,,
