Bureau of Justice Statistics,,,,,,
Filename: ipvav9311at10,,,,,,
"Appendix table 10. Standard errors for appendix table 9: Presence of weapons in intimate partner violence against females, 1993–2011",,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,
Author: Shannan Catalano,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 11/21/13,,,,,,
 ,,,,,,
"Appendix table 10. Standard errors for appendix table 9: Presence of weapons in intimate partner violence against females, 1993–2011",,,,,,
,,Percent,,,,
Year,Total intimate partner violence,Weapon,,No weapon,,Did not know if offender had weapon
1994,"108,988",1.46,,1.71,,0.8
1995,"95,835",1.13,,1.4,,0.73
1996,"90,032",1.22,,1.42,,0.62
1997,"98,113",1.42,,1.63,,0.7
1998,"101,121",1.45,,1.69,,0.64
1999,"94,193",1.64,,1.93,,0.78
2000,"80,028",1.67,,2.05,,1
2001,"74,539",1.76,,2.16,,1.11
2002,"71,124",1.92,,2.22,,1.02
2003,"68,689",2.25,,2.41,,0.73
2004,"71,769",2.33,,2.51,,0.89
2005,"69,359",2.4,,2.65,,1.01
2006,"75,870",1.97,,2.26,,0.94
2007,"79,727",1.83,,2.13,,0.86
2008,"74,126",2.11,,2.54,,1.45
2009,"81,508",1.99,,2.57,,1.67
2010,"76,309",2.09,,2.49,,1.15
2011,"56,551",2.21,,2.46,,0.91
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,
