Bureau of Justice Statistics,,,,
Filename: ipvav9311f01,,,,
"Figure 1. Rate of intimate partner violence, by victim’s sex, 1994–2011",,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,
Author: Shannan Catalano,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of release: 11/21/13,,,,
,,,,
"Figure 1. Rate of intimate partner violence, by victim’s sex, 1994–2011",,,,
"Rate per 1,000 persons age 12 or older",,,,
,Female serious violence,Female simple assault,Male serious violence,Male simple assault
'94,5.9,10.3,1.1,1.9
'95,4.9,11.3,0.8,1.8
'96,4.2,10.8,0.9,1.4
'97,4.8,9.8,0.6,1.1
'98,4.2,8.9,0.6,1.3
'99,3.6,7.3,0.6,1.6
'00,2.7,5.7,0.3,1.3
'01,2.4,5.1,0.3,0.7
'02,2.5,5,0.5,0.6
'03,2.8,4.2,0.5,0.7
'04,2.9,4,0.5,1
'05,1.9,3.8,0.7,1
'06*,2.4,4.3,1,0.8
'07*,2.6,4.6,0.7,0.8
'08,2.3,4.3,0.5,0.8
'09,2,5,0.5,0.8
'10,1.6,4.3,0.4,0.7
'11,1.6,3.1,0.4,1.1
"Note: Estimates based on 2-year rolling averages beginning in 1993. Serious violent crime includes rape or sexual assault, robbery, and aggravated assault. Intimates include current or former spouses, boyfriends, and girlfriends. See appendix table 1 for populations, counts, and rates, and appendix table 2 for standard errors. ",,,,
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal vicitmization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information.",,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,
