Bureau of Justice Statistics,,
Filename: ipvav9311f03,,
"Figure 3. Physical attacks and threats in intimate partner violence against females, 1994–2011",,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,
Author: Shannan Catalano,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of release: 11/21/13,,
,,
"Figure 3. Physical attacks and threats in intimate partner violence against females, 1994–2011",,
,Physically attacked,Threatened/a
'94,69.9,58.2
'95,61.5,54.1
'96,60.5,47.9
'97,70,52
'98,68.4,54.6
'99,62.1,46.1
'00,64.1,38.8
'01,66.1,44.9
'02,68,51.5
'03,66.7,52.8
'04,67.4,42.4
'05,72.1,41.5
06/b,71.9,62.9
07/b,72.2,62.4
'08,66.4,54.2
'09,60.4,53.1
'10,63.1,50.1
'11,60.8,43.7
"Note: Estimates based on 2-year rolling averages beginning in 1993. Intimate partner violence includes rape or sexual assault, robbery, aggravated assault, and simple assault committed by current or former spouses, boyfriends, and girlfriends. See appendix table 6 for counts and percentages and appendix table 7 for standard errors. ",,
a/Victims who were physically attacked were subsequently asked if the offender threatened them prior to the attack. ,,
"b/Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information.",,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,
