Bureau of Justice Statistics,,,,,,,,,,
Filename: ipvav9311t03,,,,,,,,,,
"Table 3. Type of physical attack in violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,
 ,,,,,,,,,,
"Table 3. Type of physical attack in violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,,,
,,Female,,,,,Male,,,
,,Intimate/a,,Nonintimate/b,,,Intimate/a,,Nonintimate/b,
Victim was physically attacked,,66.6,%,40.3,%,,64.6,%,40.1,%
,Offender threatened victim before attacking/c,51.8,%,33.6,%,,31.4,%,39.4,%
Type of attack,,,,,,,,,,
,Sexual violence,8.2,%,5.3,%,,0.9,% !,0.2,%
,"Shot at, stabbed, or hit with weapon",3.8,,1.6,,,8.2,,2.9,
,Hit by object held in hand or thrown,5.4,,4.3,,,19.3,,4.5,
,"Hit, slapped, or knocked down",44.6,,21.1,,,43.3,,25.7,
,"Grabbed, held, tripped, jumped, or pushed",36.1,,16.5,,,14,,15.1,
,Other type of attack,6.1,,2.4,,,6.3,,2.8,
Average annual violent victimizations,,"805,700",,"2,336,830",,,"173,960",,"3,365,420",
"Note: Violent victimization includes rape, sexual assault, robbery, aggravated assault, and simple assault. Percentages for type of attack sum to more than the percentage of victims who were attacked because victims were able to select more than one response. Estimates include 3.4% to 9.7% missing data on whether the offender threatened the victim before attacking. See appendix table 8 for standard errors. ",,,,,,,,,,
"a/Includes former or current spouses, boyfriends, and girlfriends. ",,,,,,,,,,
"b/Includes relatives, friends, neighbors, acquaintances, and strangers.",,,,,,,,,,
c/Victims who were physically attacked were subsequently asked if the offender threatened them prior to the attack.,,,,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,,,,,
