Bureau of Justice Statistics,,,,,,,,,,,
Filename: ipvav9311t07,,,,,,,,,,,
"Table 7. Summary attributes of violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,,
 ,,,,,,,,,,,
"Table 7. Summary attributes of violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,,,,
,,,Female,,,,,Male,,,
,,,Intimate/a,,Nonintimate/b,,,Intimate/a ,,Nonintimate/b,
Serious violent crime,,,34.6,%,33.7,%,,39,%,32.1,%
Attacks and threats,,,,,,,,,,,
,Victim was attacked,,66.6,%,40.3,%,,64.6,%,40.1,%
,,Victim was threatened before attack,51.8,,33.6,,,31.4,,39.4,
Presence of weapon,,,,,,,,,,,
,Weapon present,,17.6,%,20,%,,27,%,24.4,%
Injury and medical treatment,,,,,,,,,,,
,Injured,,49.7,%,24,%,,43.5,%,21.6,%
,,Serious injury,13,,5,,,5.4,,3.9,
,Medical treatment,,18.2,,9.8,,,10.8,,9.6,
"Note: Detailed attributes are presented in tables 1, 3, 4, 5, and 6. Standard errors are presented in appendix tables 5, 8, 11, 14, and 17. ",,,,,,,,,,,
"a/Includes former or current spouses, boyfriends, or girlfriends.",,,,,,,,,,,
"b/Includes relatives, friends, neighbors, acquaintances, and strangers. ",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,,,,,,
