year,value,vintage
1820,12.0,2016
1870,19.0,2016
1880,20.0,2016
1890,21.0,2016
1900,21.0,2016
1910,26.0,2016
1920,32.0,2016
1930,33.0,2016
1940,42.0,2016
1950,36.0,2016
1960,42.0,2016
1970,56.0,2016
1980,56.0,2016
1990,68.0,2016
2000,81.0,2016
2010,83.0,2016
1800,12.04668918,2019
1820,12.04668918,2019
1870,18.74055449,2019
1880,19.6284556,2019
1890,20.5163567,2019
1900,21.40425781,2019
1910,26.44560193,2019
1920,31.62316322,2019
1930,32.52762946,2019
1940,41.87922436,2019
1950,56.0,2019
1960,60.7,2019
1970,65.8,2019
1980,70.0,2019
1990,75.7,2019
2000,81.9,2019
2012,85.36389,2019
2013,85.49051,2019
2014,85.80934,2019
2015,86.01721,2019
2016,86.24776,2019
2000,81.12,2026
2001,81.37,2026
2002,81.74,2026
2003,82.22,2026
2004,82.56,2026
2005,82.57,2026
2006,82.53,2026
2007,83.12,2026
2008,83.48,2026
2009,83.8,2026
2010,84.37,2026
2011,84.71,2026
2012,84.91,2026
2013,85.21,2026
2014,85.56,2026
2015,85.96,2026
2016,86.28,2026
2017,86.47,2026
2018,86.76,2026
2019,86.79,2026
2020,86.98,2026
2021,87.17,2026
2022,87.39,2026
2023,87.58,2026
2024,87.74,2026
