series,Code,year,value,role,age_warning
Africa,OWID_AFR,1870,1.0117645,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1875,1.2242737,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1880,1.5132065,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1885,1.8619156,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1890,2.231804,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1895,2.4316635,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1900,2.889351,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1905,3.6753006,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1910,4.779785,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1915,6.4748993,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1920,8.666847,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1925,10.053757,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1930,11.611603,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1935,12.849609,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1940,14.594482,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1945,16.19484,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1950,18.243782,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1955,20.505562,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1960,23.018791,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1965,26.809479,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
Africa,OWID_AFR,1970,31.7985,different_source_historical_candidate,chart subtitle says15+; variable title says15-64; unresolved
