Entity,Code,Year,Share of population with some formal education
Afghanistan,AFG,1870,0
Afghanistan,AFG,1875,0
Afghanistan,AFG,1880,0
Afghanistan,AFG,1885,0
Afghanistan,AFG,1890,0
Afghanistan,AFG,1895,0
Afghanistan,AFG,1900,0
Afghanistan,AFG,1905,0
Afghanistan,AFG,1910,0.19999695
Afghanistan,AFG,1915,0.40000153
Afghanistan,AFG,1920,0.5999985
Afghanistan,AFG,1925,0.69999695
Afghanistan,AFG,1930,0.9000015
Afghanistan,AFG,1935,1
Afghanistan,AFG,1940,4.699997
Afghanistan,AFG,1945,5
Afghanistan,AFG,1950,5.5
Afghanistan,AFG,1955,6.0999985
Afghanistan,AFG,1960,7.199997
Afghanistan,AFG,1965,8.300003
Afghanistan,AFG,1970,11.699997
Afghanistan,AFG,1975,14.900002
Afghanistan,AFG,1980,18.800003
Afghanistan,AFG,1985,23.300003
Afghanistan,AFG,1990,26.199997
Afghanistan,AFG,1995,28
Afghanistan,AFG,2000,33.6
Afghanistan,AFG,2005,35.699997
Afghanistan,AFG,2010,43.3
Afghanistan,AFG,2015,56.7
Afghanistan,AFG,2020,66.1
Africa,OWID_AFR,1870,1.0117645
Africa,OWID_AFR,1875,1.2242737
Africa,OWID_AFR,1880,1.5132065
Africa,OWID_AFR,1885,1.8619156
Africa,OWID_AFR,1890,2.231804
Africa,OWID_AFR,1895,2.4316635
Africa,OWID_AFR,1900,2.889351
Africa,OWID_AFR,1905,3.6753006
Africa,OWID_AFR,1910,4.779785
Africa,OWID_AFR,1915,6.4748993
Africa,OWID_AFR,1920,8.666847
Africa,OWID_AFR,1925,10.053757
Africa,OWID_AFR,1930,11.611603
Africa,OWID_AFR,1935,12.849609
Africa,OWID_AFR,1940,14.594482
Africa,OWID_AFR,1945,16.19484
Africa,OWID_AFR,1950,18.243782
Africa,OWID_AFR,1955,20.505562
Africa,OWID_AFR,1960,23.018791
Africa,OWID_AFR,1965,26.809479
Africa,OWID_AFR,1970,31.7985
Africa,OWID_AFR,1975,37.193172
Africa,OWID_AFR,1980,43.414104
Africa,OWID_AFR,1985,50.208122
Africa,OWID_AFR,1990,55.80887
Africa,OWID_AFR,1995,60.435642
Africa,OWID_AFR,2000,62.66571
Africa,OWID_AFR,2005,65.86139
Africa,OWID_AFR,2010,69.3292
Africa,OWID_AFR,2015,74.28998
Africa,OWID_AFR,2020,78.17966
Albania,ALB,1870,0.69999695
Albania,ALB,1875,0.9000015
Albania,ALB,1880,1.0999985
Albania,ALB,1885,1.5
Albania,ALB,1890,1.9000015
Albania,ALB,1895,2.4000015
Albania,ALB,1900,3
Albania,ALB,1905,3.800003
Albania,ALB,1910,5.699997
Albania,ALB,1915,9.300003
Albania,ALB,1920,13.900002
Albania,ALB,1925,19.5
Albania,ALB,1930,25.400002
Albania,ALB,1935,31.5
Albania,ALB,1940,38.5
Albania,ALB,1945,47.1
Albania,ALB,1950,60.7
Albania,ALB,1955,62.8
Albania,ALB,1960,56.2
Albania,ALB,1965,60
Albania,ALB,1970,65.8
Albania,ALB,1975,73.2
Albania,ALB,1980,80.3
Albania,ALB,1985,86.4
Albania,ALB,1990,89.8
Albania,ALB,1995,86.9
Albania,ALB,2000,99.4
Albania,ALB,2005,98.7
Albania,ALB,2010,98.6
Albania,ALB,2015,98.8
Albania,ALB,2020,99
Algeria,DZA,1870,2.5
Algeria,DZA,1875,3.199997
Algeria,DZA,1880,4
Algeria,DZA,1885,4.9000015
Algeria,DZA,1890,5.699997
Algeria,DZA,1895,6.699997
Algeria,DZA,1900,10.099998
Algeria,DZA,1905,13.300003
Algeria,DZA,1910,15.599998
Algeria,DZA,1915,14.900002
Algeria,DZA,1920,16.400002
Algeria,DZA,1925,17.900002
Algeria,DZA,1930,18.099998
Algeria,DZA,1935,18.900002
Algeria,DZA,1940,19.099998
Algeria,DZA,1945,19.099998
Algeria,DZA,1950,18.900002
Algeria,DZA,1955,18.5
Algeria,DZA,1960,17.5
Algeria,DZA,1965,19.900002
Algeria,DZA,1970,28
Algeria,DZA,1975,37.9
Algeria,DZA,1980,47.1
Algeria,DZA,1985,57.4
Algeria,DZA,1990,64.6
Algeria,DZA,1995,70.8
Algeria,DZA,2000,75.9
Algeria,DZA,2005,79.8
Algeria,DZA,2010,82.8
Algeria,DZA,2015,86.5
Algeria,DZA,2020,89.6
Argentina,ARG,1870,9.199997
Argentina,ARG,1875,11.300003
Argentina,ARG,1880,13.5
Argentina,ARG,1885,14.699997
Argentina,ARG,1890,15.699997
Argentina,ARG,1895,18.199997
Argentina,ARG,1900,21
Argentina,ARG,1905,30.400002
Argentina,ARG,1910,37
Argentina,ARG,1915,47.5
Argentina,ARG,1920,56.3
Argentina,ARG,1925,62.6
Argentina,ARG,1930,69.9
Argentina,ARG,1935,74.9
Argentina,ARG,1940,79.2
Argentina,ARG,1945,83.8
Argentina,ARG,1950,86.7
Argentina,ARG,1955,88.2
Argentina,ARG,1960,90
Argentina,ARG,1965,92.1
Argentina,ARG,1970,94.3
Argentina,ARG,1975,95.2
Argentina,ARG,1980,96.1
Argentina,ARG,1985,95.9
Argentina,ARG,1990,96.2
Argentina,ARG,1995,96.8
Argentina,ARG,2000,97.4
Argentina,ARG,2005,99.1
Argentina,ARG,2010,99.3
Argentina,ARG,2015,99.5
Argentina,ARG,2020,99.5
Armenia,ARM,2015,99.2
Armenia,ARM,2020,99.4
Asia,OWID_ASI,1870,1.0443878
Asia,OWID_ASI,1875,1.2645264
Asia,OWID_ASI,1880,1.5455704
Asia,OWID_ASI,1885,2.0758438
Asia,OWID_ASI,1890,2.9366684
Asia,OWID_ASI,1895,3.555809
Asia,OWID_ASI,1900,4.469719
Asia,OWID_ASI,1905,6.149086
Asia,OWID_ASI,1910,7.7277374
Asia,OWID_ASI,1915,9.364601
Asia,OWID_ASI,1920,11.781342
Asia,OWID_ASI,1925,14.02317
Asia,OWID_ASI,1930,16.605347
Asia,OWID_ASI,1935,19.071
Asia,OWID_ASI,1940,27.638817
Asia,OWID_ASI,1945,30.275528
Asia,OWID_ASI,1950,33.472237
Asia,OWID_ASI,1955,37.822914
Asia,OWID_ASI,1960,41.936424
Asia,OWID_ASI,1965,46.89765
Asia,OWID_ASI,1970,53.489555
Asia,OWID_ASI,1975,57.618145
Asia,OWID_ASI,1980,62.450794
Asia,OWID_ASI,1985,65.65124
Asia,OWID_ASI,1990,68.134766
Asia,OWID_ASI,1995,72.71811
Asia,OWID_ASI,2000,76.91078
Asia,OWID_ASI,2005,81.130646
Asia,OWID_ASI,2010,84.08368
Asia,OWID_ASI,2015,86.77406
Asia,OWID_ASI,2020,88.97724
Australia,AUS,1870,49.1
Australia,AUS,1875,53.7
Australia,AUS,1880,58.2
Australia,AUS,1885,63.8
Australia,AUS,1890,70.2
Australia,AUS,1895,75.2
Australia,AUS,1900,75.1
Australia,AUS,1905,77.7
Australia,AUS,1910,82.3
Australia,AUS,1915,85.7
Australia,AUS,1920,88.7
Australia,AUS,1925,90.7
Australia,AUS,1930,92.9
Australia,AUS,1935,94.9
Australia,AUS,1940,96.3
Australia,AUS,1945,97.7
Australia,AUS,1950,98.8
Australia,AUS,1955,99
Australia,AUS,1960,99.2
Australia,AUS,1965,99.3
Australia,AUS,1970,99.4
Australia,AUS,1975,99
Australia,AUS,1980,99.3
Australia,AUS,1985,99
Australia,AUS,1990,99.1
Australia,AUS,1995,98.9
Australia,AUS,2000,99.2
Australia,AUS,2005,99.4
Australia,AUS,2010,99.5
Australia,AUS,2015,99.3
Australia,AUS,2020,99.1
Austria,AUT,1870,37
Austria,AUT,1875,38.9
Austria,AUT,1880,41.2
Austria,AUT,1885,44.5
Austria,AUT,1890,48.4
Austria,AUT,1895,52.8
Austria,AUT,1900,57.3
Austria,AUT,1905,61.5
Austria,AUT,1910,65.8
Austria,AUT,1915,70.2
Austria,AUT,1920,74.5
Austria,AUT,1925,79.8
Austria,AUT,1930,84.3
Austria,AUT,1935,88.5
Austria,AUT,1940,92.2
Austria,AUT,1945,95.3
Austria,AUT,1950,97.6
Austria,AUT,1955,97.9
Austria,AUT,1960,98.2
Austria,AUT,1965,97.4
Austria,AUT,1970,97.5
Austria,AUT,1975,99.1
Austria,AUT,1980,99.9
Austria,AUT,1985,99.5
Austria,AUT,1990,98.9
Austria,AUT,1995,98.4
Austria,AUT,2000,98.4
Austria,AUT,2005,98.4
Austria,AUT,2010,98.4
Austria,AUT,2015,98.3
Austria,AUT,2020,98.1
Bahrain,BHR,2015,73.8
Bahrain,BHR,2020,74.6
Bangladesh,BGD,1870,0.19999695
Bangladesh,BGD,1875,0.30000305
Bangladesh,BGD,1880,0.40000153
Bangladesh,BGD,1885,0.5
Bangladesh,BGD,1890,0.5999985
Bangladesh,BGD,1895,0.80000305
Bangladesh,BGD,1900,1.0999985
Bangladesh,BGD,1905,4.5999985
Bangladesh,BGD,1910,7.9000015
Bangladesh,BGD,1915,10.300003
Bangladesh,BGD,1920,10.599998
Bangladesh,BGD,1925,12.5
Bangladesh,BGD,1930,14.5
Bangladesh,BGD,1935,16.300003
Bangladesh,BGD,1940,18.300003
Bangladesh,BGD,1945,20.199997
Bangladesh,BGD,1950,21.800003
Bangladesh,BGD,1955,22
Bangladesh,BGD,1960,22.900002
Bangladesh,BGD,1965,22.5
Bangladesh,BGD,1970,22.199997
Bangladesh,BGD,1975,23.300003
Bangladesh,BGD,1980,33.9
Bangladesh,BGD,1985,41.3
Bangladesh,BGD,1990,44.7
Bangladesh,BGD,1995,49.5
Bangladesh,BGD,2000,57.4
Bangladesh,BGD,2005,62.4
Bangladesh,BGD,2010,69.6
Bangladesh,BGD,2015,74.1
Bangladesh,BGD,2020,78.1
Barbados,BRB,1870,24.5
Barbados,BRB,1875,27.599998
Barbados,BRB,1880,31.199997
Barbados,BRB,1885,32.6
Barbados,BRB,1890,34.4
Barbados,BRB,1895,35
Barbados,BRB,1900,37.3
Barbados,BRB,1905,47.3
Barbados,BRB,1910,47.6
Barbados,BRB,1915,55
Barbados,BRB,1920,64.2
Barbados,BRB,1925,69
Barbados,BRB,1930,72.7
Barbados,BRB,1935,78.6
Barbados,BRB,1940,85.1
Barbados,BRB,1945,91.8
Barbados,BRB,1950,97.7
Barbados,BRB,1955,98.1
Barbados,BRB,1960,98.5
Barbados,BRB,1965,98.9
Barbados,BRB,1970,99.4
Barbados,BRB,1975,99.3
Barbados,BRB,1980,98.6
Barbados,BRB,1985,99.3
Barbados,BRB,1990,99.2
Barbados,BRB,1995,99.4
Barbados,BRB,2000,100
Barbados,BRB,2005,100
Barbados,BRB,2010,99.8
Barbados,BRB,2015,99.2
Barbados,BRB,2020,99.3
Belgium,BEL,1870,55.8
Belgium,BEL,1875,52.8
Belgium,BEL,1880,54.9
Belgium,BEL,1885,56.2
Belgium,BEL,1890,55
Belgium,BEL,1895,55.9
Belgium,BEL,1900,57.5
Belgium,BEL,1905,59.9
Belgium,BEL,1910,66.2
Belgium,BEL,1915,68.5
Belgium,BEL,1920,70.5
Belgium,BEL,1925,73.7
Belgium,BEL,1930,78.2
Belgium,BEL,1935,81.9
Belgium,BEL,1940,87.7
Belgium,BEL,1945,93.9
Belgium,BEL,1950,97.3
Belgium,BEL,1955,97.8
Belgium,BEL,1960,98.2
Belgium,BEL,1965,98.8
Belgium,BEL,1970,98.8
Belgium,BEL,1975,97.5
Belgium,BEL,1980,96.4
Belgium,BEL,1985,95.8
Belgium,BEL,1990,95.8
Belgium,BEL,1995,96.2
Belgium,BEL,2000,96.8
Belgium,BEL,2005,95.8
Belgium,BEL,2010,96.1
Belgium,BEL,2015,96.5
Belgium,BEL,2020,97
Belize,BLZ,1870,9.300003
Belize,BLZ,1875,11.699997
Belize,BLZ,1880,14.400002
Belize,BLZ,1885,17.699997
Belize,BLZ,1890,21.599998
Belize,BLZ,1895,25.900002
Belize,BLZ,1900,30.5
Belize,BLZ,1905,41.3
Belize,BLZ,1910,51
Belize,BLZ,1915,59.2
Belize,BLZ,1920,60.1
Belize,BLZ,1925,65.3
Belize,BLZ,1930,69.3
Belize,BLZ,1935,74.4
Belize,BLZ,1940,79.9
Belize,BLZ,1945,84.8
Belize,BLZ,1950,87.3
Belize,BLZ,1955,88.6
Belize,BLZ,1960,90.2
Belize,BLZ,1965,90.8
Belize,BLZ,1970,92
Belize,BLZ,1975,92.4
Belize,BLZ,1980,93.5
Belize,BLZ,1985,91.4
Belize,BLZ,1990,91.4
Belize,BLZ,1995,95
Belize,BLZ,2000,97.4
Belize,BLZ,2005,98.9
Belize,BLZ,2010,99.9
Belize,BLZ,2015,99.9
Belize,BLZ,2020,99.9
Benin,BEN,1870,0
Benin,BEN,1875,0.099998474
