Entity,Code,Year,No formal education,At least some basic education
Argentina,ARG,1950,14.211617,85.78838
Argentina,ARG,1955,12.431603,87.5684
Argentina,ARG,1960,10.859231,89.14077
Argentina,ARG,1965,9.377147,90.622856
Argentina,ARG,1970,8.031716,91.968285
Argentina,ARG,1975,6.812619,93.18738
Argentina,ARG,1980,5.8037105,94.19629
Argentina,ARG,1985,4.8814497,95.11855
Argentina,ARG,1990,4.0488596,95.95114
Argentina,ARG,1995,3.3246772,96.67532
Argentina,ARG,2000,2.7534006,97.2466
Argentina,ARG,2005,2.2671978,97.7328
Argentina,ARG,2010,1.8492883,98.15071
Argentina,ARG,2015,1.5083904,98.49161
Argentina,ARG,2020,1.2622308,98.73777
Australia,AUS,1950,1.7044035,98.29559
Australia,AUS,1955,1.8605148,98.13949
Australia,AUS,1960,1.9176444,98.08236
Australia,AUS,1965,1.8918141,98.108185
Australia,AUS,1970,1.8443898,98.15561
Australia,AUS,1975,1.7524188,98.24758
Australia,AUS,1980,1.637346,98.362656
Australia,AUS,1985,1.5162185,98.48378
Australia,AUS,1990,1.3818144,98.61819
Australia,AUS,1995,1.2584542,98.74155
Australia,AUS,2000,1.1312323,98.86877
Australia,AUS,2005,0.9832799,99.01672
Australia,AUS,2010,0.8139186,99.18608
Australia,AUS,2015,0.6699109,99.330086
Australia,AUS,2020,0.6349725,99.36503
Brazil,BRA,1950,49.213608,50.786392
Brazil,BRA,1955,45.166084,54.833916
Brazil,BRA,1960,41.211636,58.788364
Brazil,BRA,1965,36.764107,63.235893
Brazil,BRA,1970,31.9713,68.0287
Brazil,BRA,1975,27.367737,72.63226
Brazil,BRA,1980,23.162233,76.83777
Brazil,BRA,1985,19.764359,80.23564
Brazil,BRA,1990,16.854834,83.145164
Brazil,BRA,1995,14.273426,85.72658
Brazil,BRA,2000,12.080299,87.9197
Brazil,BRA,2005,10.310417,89.68958
Brazil,BRA,2010,8.885453,91.11455
Brazil,BRA,2015,7.5603046,92.4397
Brazil,BRA,2020,6.522197,93.477806
Canada,CAN,1950,1.1024845,98.897514
Canada,CAN,1955,1.0362161,98.96378
Canada,CAN,1960,0.96394473,99.03606
Canada,CAN,1965,0.8926126,99.10738
Canada,CAN,1970,0.82312495,99.17687
Canada,CAN,1975,0.7568042,99.243195
Canada,CAN,1980,0.7008186,99.29918
Canada,CAN,1985,0.65323174,99.34677
Canada,CAN,1990,0.60770184,99.392296
Canada,CAN,1995,0.5577563,99.442245
Canada,CAN,2000,0.49482408,99.50517
Canada,CAN,2005,0.43945697,99.56054
Canada,CAN,2010,0.4051949,99.5948
Canada,CAN,2015,0.3499652,99.65003
Canada,CAN,2020,0.009766055,99.990234
China,CHN,1950,66.50909,33.490913
China,CHN,1955,59.22221,40.77779
China,CHN,1960,51.541546,48.458454
China,CHN,1965,43.255375,56.744625
China,CHN,1970,35.120323,64.87968
China,CHN,1975,28.764107,71.23589
China,CHN,1980,22.870308,77.12969
China,CHN,1985,17.742258,82.257744
China,CHN,1990,13.929797,86.070206
China,CHN,1995,11.1661825,88.83382
China,CHN,2000,8.792872,91.20713
China,CHN,2005,6.68323,93.31677
China,CHN,2010,5.135085,94.864914
China,CHN,2015,4.011189,95.98881
China,CHN,2020,3.1310256,96.86897
Egypt,EGY,1950,76.14133,23.858673
Egypt,EGY,1955,74.256905,25.743095
Egypt,EGY,1960,72.03946,27.96054
Egypt,EGY,1965,68.9998,31.000198
Egypt,EGY,1970,65.47543,34.524567
Egypt,EGY,1975,61.76582,38.23418
Egypt,EGY,1980,58.29657,41.70343
Egypt,EGY,1985,54.428356,45.571644
Egypt,EGY,1990,50.19394,49.80606
Egypt,EGY,1995,45.00269,54.99731
Egypt,EGY,2000,39.246223,60.753777
Egypt,EGY,2005,33.52862,66.471375
Egypt,EGY,2010,28.473946,71.526054
Egypt,EGY,2015,24.403223,75.59678
Egypt,EGY,2020,23.546072,76.453926
France,FRA,1950,2.9413035,97.05869
France,FRA,1955,3.0475214,96.95248
France,FRA,1960,3.1021116,96.89789
France,FRA,1965,3.0656738,96.934326
France,FRA,1970,2.9923155,97.00768
France,FRA,1975,2.8850272,97.114975
France,FRA,1980,2.7475371,97.252464
France,FRA,1985,2.5799599,97.420044
France,FRA,1990,2.4019003,97.5981
France,FRA,1995,2.2398689,97.76013
France,FRA,2000,2.0616698,97.93833
France,FRA,2005,1.8665316,98.13347
France,FRA,2010,1.6622096,98.33779
France,FRA,2015,1.4672915,98.53271
France,FRA,2020,1.4184463,98.58155
Germany,DEU,1950,0,100
Germany,DEU,1955,0,100
