series,year,value,unit,agefrom,ageto,author_value,difference
Cambodia,1870,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1875,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1880,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1885,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1890,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1895,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1900,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1905,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1910,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1915,0.01,"mean years of schooling, both sexes age15-64",15.0,64.0,0.01,0.0
Cambodia,1920,0.02,"mean years of schooling, both sexes age15-64",15.0,64.0,0.02,0.0
Cambodia,1925,0.02,"mean years of schooling, both sexes age15-64",15.0,64.0,0.02,0.0
Cambodia,1930,0.03,"mean years of schooling, both sexes age15-64",15.0,64.0,0.03,0.0
Cambodia,1935,0.04,"mean years of schooling, both sexes age15-64",15.0,64.0,0.04,0.0
Cambodia,1940,0.07,"mean years of schooling, both sexes age15-64",15.0,64.0,0.07,0.0
Cambodia,1945,0.29,"mean years of schooling, both sexes age15-64",15.0,64.0,0.29,0.0
Cambodia,1950,0.44,"mean years of schooling, both sexes age15-64",15.0,64.0,0.44,0.0
Cambodia,1955,0.67,"mean years of schooling, both sexes age15-64",15.0,64.0,0.67,0.0
Cambodia,1960,1.23,"mean years of schooling, both sexes age15-64",15.0,64.0,1.23,0.0
Cambodia,1965,1.53,"mean years of schooling, both sexes age15-64",15.0,64.0,1.53,0.0
Cambodia,1970,1.91,"mean years of schooling, both sexes age15-64",15.0,64.0,1.91,0.0
Cambodia,1975,2.31,"mean years of schooling, both sexes age15-64",15.0,64.0,2.31,0.0
Cambodia,1980,2.66,"mean years of schooling, both sexes age15-64",15.0,64.0,2.66,0.0
Cambodia,1985,2.89,"mean years of schooling, both sexes age15-64",15.0,64.0,2.89,0.0
Cambodia,1990,3.2,"mean years of schooling, both sexes age15-64",15.0,64.0,3.2,0.0
Cambodia,1995,3.41,"mean years of schooling, both sexes age15-64",15.0,64.0,3.41,0.0
Cambodia,2000,3.64,"mean years of schooling, both sexes age15-64",15.0,64.0,3.64,0.0
Cambodia,2005,4.26,"mean years of schooling, both sexes age15-64",15.0,64.0,4.26,0.0
Cambodia,2010,4.94,"mean years of schooling, both sexes age15-64",15.0,64.0,4.94,0.0
Chile,1870,0.43,"mean years of schooling, both sexes age15-64",15.0,64.0,0.43,0.0
Chile,1875,0.51,"mean years of schooling, both sexes age15-64",15.0,64.0,0.51,0.0
Chile,1880,0.58,"mean years of schooling, both sexes age15-64",15.0,64.0,0.58,0.0
Chile,1885,0.64,"mean years of schooling, both sexes age15-64",15.0,64.0,0.64,0.0
Chile,1890,0.69,"mean years of schooling, both sexes age15-64",15.0,64.0,0.69,0.0
Chile,1895,0.75,"mean years of schooling, both sexes age15-64",15.0,64.0,0.75,0.0
Chile,1900,1.58,"mean years of schooling, both sexes age15-64",15.0,64.0,1.58,0.0
