year,value_legacy,value_2026,relative_revision
1301,33042.9,30558.924,-0.07517427344452221
1302,40820.58,31341.666,-0.23220919447984323
1303,40475.2,32197.186,-0.20452064474048293
1304,40512.35,33004.742,-0.1853165269356135
1305,40279.28,33554.906,-0.16694374874625362
1306,38903.74,33659.79,-0.13479295306826533
1307,37500.89,33764.492,-0.09963491533134283
1308,36595.16,33118.44,-0.09500491321803217
1309,35996.52,31314.613,-0.1300655452249272
1310,35486.87,29988.13,-0.15495139469894081
1311,35424.59,28459.63,-0.1966137081614776
1312,35173.8,27720.973,-0.2118857501890612
1313,32617.49,27506.12,-0.1567064173239573
1314,29181.42,27668.377,-0.05184953302478079
1315,27711.62,27747.465,0.0012935007047585323
1316,27712.33,26577.963,-0.04093365660700499
1317,28940.11,24262.004,-0.1616478306405884
1318,32101.51,23047.846,-0.2820323405347598
1319,31751.67,23931.77,-0.24628310888844585
1320,31467.44,25177.365,-0.19989153868252385
1321,31474.12,25515.293,-0.1893246578458746
1322,31608.53,25867.854,-0.1816179366772197
1323,31209.15,26190.95,-0.16079258807112662
1324,35312.68,26000.186,-0.26371529999988674
1325,36285.8,24530.047,-0.32397667958264675
1326,36078.63,26400.219,-0.2682588280098218
1327,35345.63,27859.33,-0.2118027037571546
1328,34300.59,28874.65,-0.158187949536728
1329,31877.05,28188.23,-0.11572024387451163
1330,31138.11,28750.63,-0.0766738893272585
1331,31961.56,27376.793,-0.14344628359817224
1332,32920.96,25738.938,-0.218159555492914
1333,34010.12,25661.639,-0.24547049525258957
1334,35503.07,26554.367,-0.2520543434694521
1335,37951.82,27530.463,-0.2745943936285532
1336,37191.68,28945.506,-0.22172093328400333
1337,37147.34,31816.025,-0.1435180823176032
1338,37161.56,31214.564,-0.16003084908168552
1339,38065.74,32764.889,-0.13925516750758027
1340,36523.89,31155.14,-0.14699283126742524
1341,36709.5,31725.55,-0.13576730818997806
1342,37611.34,30230.78,-0.19623230653308277
1343,37906.96,31050.793,-0.18086828909519514
1344,36877.03,29306.5,-0.2052912070196542
1345,35566.88,30608.28,-0.1394162209336326
1346,36480.66,30870.842,-0.15377512358603163
1347,35357.89,29832.836,-0.15626085153836955
1348,33803.99,29005.668,-0.14194543306869978
1349,31933.0,29638.184,-0.07186346412801803
1350,32426.02,28759.584,-0.1130707993148713
1351,32079.44,26602.713,-0.17072389667650056
1352,31836.58,26727.934,-0.16046466046290153
1353,33100.38,26975.086,-0.18505207493086173
1354,34602.81,26009.816,-0.2483322597211035
1355,35372.72,26479.404,-0.2514173634371347
1356,34524.31,27306.627,-0.2090608907172945
1357,34073.34,28301.941,-0.16938166320061365
1358,33084.37,27479.506,-0.16941123557740412
1359,33139.78,27181.738,-0.1797852007466555
1360,32166.2,26533.373,-0.1751163332939546
1361,31262.37,26949.842,-0.1379462913400359
1362,31091.69,27131.314,-0.12737731528906926
1363,31465.64,27064.014,-0.1398867463048583
1364,32266.04,26325.736,-0.1841039061502434
1365,33574.4,25959.75,-0.22679928755242096
1366,34471.0,26665.916,-0.22642464680456031
1367,32723.5,27652.51,-0.1549647806622153
1368,31792.91,28287.049,-0.11027178701163254
1369,30303.61,28234.395,-0.06828278875025118
1370,29173.01,27050.0,-0.07277308717886832
1371,29083.05,25027.01,-0.1394640520853212
1372,30046.78,23585.408,-0.21504374179196573
1373,30552.03,22926.207,-0.24960118852986202
1374,31135.42,23216.814,-0.2543279005068825
1375,32451.71,24132.016,-0.25637151324229135
1376,33297.72,24025.434,-0.278466093173947
1377,33871.7,24710.178,-0.2704771830170909
1378,33981.94,26310.45,-0.22575197295975458
1379,33732.45,27449.93,-0.186245588446733
1380,32142.63,28154.984,-0.12406097447533071
1381,30352.91,28891.127,-0.04815956690808232
1382,30247.38,28130.41,-0.06998854115629194
1383,30073.17,26771.055,-0.10980269123607511
1384,29678.21,26071.424,-0.12152976881018096
1385,30093.2,26309.621,-0.12572870282987525
1386,30677.35,25817.23,-0.15842698277393574
1387,30114.94,25804.781,-0.14312361239969262
1388,28800.21,26263.957,-0.0880636981466455
1389,28512.65,26601.11,-0.0670418217878731
1390,28406.74,25531.414,-0.10121985134513856
1391,28377.01,24820.918,-0.12531595118724614
1392,28118.54,24563.05,-0.12644646557040307
1393,28486.93,25067.338,-0.12004073447015884
1394,27544.57,23800.002,-0.13594577806079378
1395,26421.08,23920.145,-0.09465680433956525
1396,26011.47,24453.447,-0.05989753750941418
1397,25582.11,23643.225,-0.07579065995729051
1398,24892.68,22403.92,-0.09997959239423004
1399,25029.07,21816.87,-0.12833876768094066
1400,25097.52,21262.875,-0.15278979755768696
1401,24856.61,20780.943,-0.16396712987008288
1402,25231.83,20434.426,-0.19013301849291164
1403,26388.85,19753.172,-0.2514576421481042
1404,26725.33,20105.41,-0.24770208637274083
1405,27001.7,20529.365,-0.2397010188247406
1406,25516.76,21227.8,-0.1680840357474852
1407,24220.41,22250.334,-0.08133949838173682
1408,23461.27,22010.28,-0.061846183092390206
1409,23245.61,21161.986,-0.0896351612196884
1410,22681.4,20062.74,-0.11545407249993389
1411,23250.02,19182.004,-0.17496827959717887
1412,23909.81,18822.658,-0.21276421686328761
1413,23381.19,19204.7,-0.17862606650901847
1414,22464.31,20012.715,-0.10913288678797617
1415,22216.08,20887.408,-0.05980677059139161
1416,21464.42,20767.889,-0.032450492489431326
1417,21089.87,19850.523,-0.058765037432663036
1418,21201.95,19172.23,-0.09573270383148724
1419,21860.42,18181.082,-0.16831048991739406
1420,22334.22,17965.1,-0.19562447222244617
1421,22346.72,18124.793,-0.18892826329770096
1422,22462.76,18970.572,-0.15546566851090415
1423,23015.17,19027.22,-0.17327484437438423
1424,23305.43,19961.719,-0.14347347377842845
1425,23403.03,20078.08,-0.14207348364720285
1426,23944.3,20393.057,-0.1483126673153944
1427,23903.33,20700.252,-0.13400132952187005
1428,23477.2,22265.852,-0.05159678326205863
1429,22934.38,21931.213,-0.04374075078550199
1430,22243.92,21540.564,-0.03162014608935837
1431,21980.06,21225.055,-0.03434954226694564
1432,21891.51,21447.736,-0.020271511649950003
1433,21769.44,19913.064,-0.08527440301633848
1434,21432.27,19861.441,-0.07329270301279345
1435,20778.67,20325.951,-0.021787679384676517
1436,19495.54,20129.164,0.0325009720171896
1437,18950.55,19339.416,0.02052003767700694
1438,19636.34,18677.965,-0.04880619300745459
1439,19914.59,17592.914,-0.11658166198751763
1440,21570.06,17261.902,-0.19972860529827008
1441,23018.0,17968.68,-0.2193639760187679
1442,23926.06,19285.818,-0.1939409163063205
1443,22728.39,20576.078,-0.09469707269190641
1444,21963.18,22066.924,0.004723541855049973
1445,20384.14,22643.988,0.11086305333460245
1446,20017.17,21572.85,0.07771727971536446
1447,18569.85,19642.494,0.057762663672566106
1448,17612.81,19267.986,0.09397569155631613
1449,16942.37,17835.0,0.05268625345804634
1450,17684.3,16380.542,-0.07372403770576164
1451,17956.35,15823.51,-0.1187791505511977
1452,19484.09,16499.5,-0.1531808773209321
1453,19542.57,16528.588,-0.1542264911933282
1454,19586.62,17840.06,-0.08917107699031268
1455,18580.61,17807.021,-0.041634208995291355
1456,18725.66,17801.637,-0.04934528342392208
1457,18066.31,17127.012,-0.05199169061086639
1458,18744.92,17129.293,-0.08619012511122992
1459,18868.1,16495.33,-0.1257556404725434
1460,18658.27,17128.227,-0.08200347620652937
1461,17112.56,17110.467,-0.00012230782536337692
1462,17401.73,16212.657,-0.06833073493267627
1463,17581.67,14975.893,-0.14820986857334928
1464,18266.44,15943.737,-0.12715685158137002
1465,18970.84,16084.518,-0.15214518703441704
1466,19832.35,16977.992,-0.1439243458289109
1467,18858.59,18191.678,-0.03536383154838196
1468,18474.68,18811.312,0.018221262831074725
1469,18326.88,17384.79,-0.05140482176999028
1470,18364.42,16766.953,-0.08698706520543509
1471,18431.35,16365.414,-0.1120881541504013
1472,18688.57,16063.387,-0.14046997710365206
1473,18592.88,16285.074,-0.12412310518865288
1474,18180.26,16649.062,-0.0842231079203486
1475,17556.13,16799.314,-0.04310836158082687
1476,16798.12,16463.953,-0.01989311899188706
1477,16399.1,16369.6045,-0.0017986048014829725
1478,16963.7,15675.819,-0.07591981702105088
1479,16697.11,15017.454,-0.10059561205502032
1480,16544.01,15565.136,-0.0591678800967842
1481,17019.08,15846.634,-0.06889009276647162
1482,16655.85,15876.36,-0.0467997730527111
1483,16257.37,15819.503,-0.02693344618471505
1484,16633.11,15275.241,-0.08163650694307922
1485,16794.57,14522.438,-0.13528967993821805
1486,16189.78,14381.376,-0.11170034429127518
1487,16462.77,14110.565,-0.14288026863037018
1488,16016.46,14001.862,-0.12578297576368314
1489,15683.35,14555.587,-0.0719082976532438
1490,15840.4,14265.509,-0.09942242620135855
1491,16151.08,13801.165,-0.14549584300244933
1492,16276.29,13681.973,-0.15939240453444858
1493,16282.03,13818.15,-0.151325111180854
1494,16132.06,13867.027,-0.1404056890440526
1495,16126.06,13930.102,-0.13617449023506045
1496,15738.66,14332.688,-0.08933238280768496
1497,15466.53,14419.935,-0.06766837810420312
1498,15211.68,14292.02,-0.060457490559885585
1499,14930.34,14042.358,-0.05947500190886479
1500,14472.14,14087.045,-0.02660940261771927
1501,14604.11,13514.972,-0.07457749907389088
1502,14732.25,13286.11,-0.09816151640109283
1503,14928.21,13307.797,-0.10854703946420896
1504,15468.13,13303.836,-0.1399195636447328
1505,15572.46,13086.785,-0.15961993159719146
1506,15719.45,13509.832,-0.14056585949253952
1507,15754.05,13604.031,-0.13647404953012077
1508,15893.33,13633.303,-0.14219971522645036
1509,15708.5,14067.486,-0.104466626348792
1510,15193.51,14432.571,-0.05008316050734818
1511,14731.5,14594.74,-0.009283508128839602
1512,15487.71,14505.654,-0.06340872859835311
1513,15376.3,13879.142,-0.09736789734851681
1514,15490.54,14292.8545,-0.07731722070373281
1515,15935.66,14128.916,-0.11337741894593634
1516,16194.29,13728.717,-0.1522495274568999
1517,14670.01,14118.766,-0.03757625250425878
1518,14315.61,14645.4375,0.02303970979930292
1519,14035.28,13493.945,-0.03856959034661234
1520,13980.37,13041.676,-0.06714371651107953
1521,13733.77,12574.55,-0.08440653950080723
1522,14226.09,11897.603,-0.16367722965340448
1523,14352.9,11352.2,-0.20906576371325647
1524,14176.85,11419.267,-0.1945130970561162
1525,13440.95,11622.912,-0.13526112365569398
1526,12909.53,12096.2705,-0.06299683257252586
1527,12389.24,12265.179,-0.010013608582931655
1528,12168.32,11651.307,-0.0424884454057749
1529,12377.05,11241.196,-0.09177097935291523
1530,13043.53,10787.166,-0.17298722048402548
1531,13543.18,10549.002,-0.22108382226330892
1532,14157.68,10310.889,-0.27171054862096056
1533,13943.12,10951.1455,-0.2145842895994584
1534,13677.18,11492.364,-0.1597417011401474
1535,13489.65,11485.248,-0.1485881397960659
1536,13490.54,11328.466,-0.16026593449928617
1537,13187.79,11030.597,-0.1635750190138
1538,13583.7,11261.4375,-0.1709594955718987
1539,13623.59,11039.906,-0.18964780942468173
1540,13378.01,11158.398,-0.16591496044628473
1541,12871.9,11233.2295,-0.12730603096667936
1542,12691.25,11495.821,-0.09419316458189697
1543,12325.68,11052.788,-0.10327154363897162
1544,12421.54,10826.9795,-0.128370596560491
1545,13104.21,10659.014,-0.18659621602523158
1546,13834.81,10258.374,-0.2585099470104757
1547,13703.7,10752.86,-0.2153316257653043
1548,13659.96,11803.428,-0.13591050046998665
1549,13300.69,12209.291,-0.08205581815680252
1550,13214.93,12206.291,-0.07632571644344699
1551,12989.99,11976.197,-0.07804417093469662
1552,12981.87,11644.075,-0.10305102423610779
1553,12498.86,11077.029,-0.11375685462514185
1554,12634.32,11014.782,-0.12818560872290718
1555,13183.09,10998.885,-0.16568232485707068
1556,14269.15,11435.404,-0.1985924879898241
1557,15278.01,11118.409,-0.2722606543653264
1558,16458.92,11921.259,-0.2756961574635516
1559,17068.0,12550.933,-0.2646512186547926
1560,15784.72,13461.376,-0.1471894338322124
1561,14254.1,13875.172,-0.026583789927108636
1562,13706.38,14290.107,0.04258797727773489
1563,13533.81,13456.949,-0.005679184206073495
1564,13659.66,12703.362,-0.07000891676659604
1565,14427.59,12561.329,-0.12935362038982257
1566,14967.65,12748.975,-0.14823135228309048
1567,15239.72,13034.541,-0.14469944329685847
1568,15468.9,13398.561,-0.13383879913891739
1569,15341.84,13659.116,-0.1096820198880969
1570,15019.66,13477.31,-0.10268874262133765
1571,14511.43,13634.67,-0.0604185803880114
1572,14449.27,13327.169,-0.07765797164839472
1573,14427.93,13150.119,-0.08856509561662684
1574,14142.89,12858.619,-0.09080682943867902
1575,14411.02,12777.84,-0.113328549956908
1576,15399.28,12463.284,-0.1906580047898344
1577,15708.59,12391.643,-0.21115497953667384
1578,15761.75,12425.766,-0.21165060986248352
1579,16113.84,12810.3545,-0.20500920326874295
1580,16262.19,13029.094,-0.19881061529843158
1581,16226.96,12858.949,-0.20755649856781544
1582,16367.25,12866.63,-0.21387954604469295
1583,16106.43,12842.689,-0.20263590379742746
1584,15310.97,12979.425,-0.15227937877221365
1585,15848.02,12938.007,-0.18361997271583463
1586,16521.4,12838.181,-0.2229362523757067
1587,16419.2,12815.49,-0.21948146072890284
1588,16728.25,13201.902,-0.21080196673292184
1589,18382.61,13240.312,-0.2797370993564027
1590,18336.06,13066.723,-0.28737564122281456
1591,17950.33,13528.57,-0.24633307577075192
1592,16883.86,14034.164,-0.16878225713788197
1593,16164.88,13848.004,-0.14332775745938098
1594,14241.01,13270.825,-0.06812613712089233
1595,12947.03,12908.048,-0.0030108835771601727
1596,12505.04,12286.225,-0.01749814474803768
1597,13018.99,11293.387,-0.13254507454111253
1598,13576.36,10671.491,-0.2139652307393145
1599,14790.79,10992.709,-0.25678689238370633
1600,15733.67,11492.944,-0.26953190196565713
1601,15665.83,12003.549,-0.23377510160648995
1602,15965.27,12588.239,-0.21152357586185522
1603,15967.58,12897.179,-0.1922896894833156
1604,15703.75,13051.537,-0.16889042426172096
1605,14906.96,12746.576,-0.14492451847995835
1606,14330.5,12546.584,-0.12448386308921522
1607,13999.59,12447.948,-0.11083481730536393
1608,14162.64,12048.165,-0.14929949500940498
1609,13650.35,11327.544,-0.1701645745347189
1610,13713.8,11570.2705,-0.15630456182823138
1611,13718.26,11468.65,-0.16398654056709816
1612,13549.88,11322.051,-0.1644168804446976
1613,13017.63,11332.633,-0.12943961381603253
1614,13158.86,11480.746,-0.1275273085966414
1615,13057.79,11198.011,-0.14242678125471464
1616,13492.3,11124.986,-0.17545666787723357
1617,13915.86,10977.147,-0.21117724668112492
1618,14328.92,11036.183,-0.22979659318357548
1619,14234.27,11240.296,-0.21033561959974068
1620,13944.96,11453.928,-0.1786331405755197
1621,13381.05,11538.609,-0.13769031578239366
1622,12852.08,11333.281,-0.11817534593622192
1623,12202.16,11184.539,-0.08339679204337591
1624,12529.88,11158.429,-0.10945444010636962
1625,13012.4,10677.0625,-0.1794701592327318
1626,13432.21,10482.205,-0.2196217152650234
1627,13158.55,10579.694,-0.1959832960318576
1628,12876.91,10932.9795,-0.15096249799058936
1629,12537.98,10809.372,-0.1378697365923378
1630,12230.51,10712.924,-0.12408198840440832
1631,11939.63,10475.404,-0.12263579357149246
1632,12375.7,10484.476,-0.1528175375938331
1633,12834.06,10218.38,-0.20380768050016906
1634,12835.32,10242.614,-0.20199776865711183
1635,12694.21,10460.406,-0.17597030457192675
1636,12911.74,10610.726,-0.1782109924766142
1637,13142.79,10611.2705,-0.1926165981500123
1638,13149.59,10466.235,-0.20406377689342403
1639,13633.09,10384.31,-0.23830107481135976
1640,14629.23,10554.894,-0.2785065242668274
1641,14604.61,10868.575,-0.25581203469315505
1642,14476.25,11527.684,-0.20368299801398848
1643,14593.8,11694.892,-0.1986396963093916
1644,14414.39,11776.296,-0.18301808123687502
1645,13473.2,11715.641,-0.13044852002493845
1646,13018.43,11896.651,-0.0861685318429335
1647,12379.92,11372.228,-0.08139729497444259
1648,12061.91,11142.908,-0.07619042092006989
1649,11923.07,10865.576,-0.08869309666050784
1650,12752.6,10517.034,-0.17530276178975268
1651,13691.83,10010.59,-0.26886398677167334
1652,14449.49,10129.909,-0.29894349212325144
1653,14502.66,10514.572,-0.27499010526344825
1654,14477.73,10926.143,-0.24531380264723823
1655,13621.51,11353.918,-0.16647141175978286
1656,12758.51,11674.917,-0.08493099899596435
1657,12215.53,11594.08,-0.05087376478957528
1658,12362.06,11369.293,-0.08030757009754041
1659,11860.49,10941.124,-0.07751500991948901
1660,12267.09,10808.494,-0.11890317915658888
1661,12796.4,10505.13,-0.17905582820168175
1662,13250.89,10200.922,-0.23017080362149256
1663,13608.11,10153.265,-0.2538813251803521
1664,14688.24,10277.892,-0.30026388457704944
1665,14992.79,10067.795,-0.328490894623349
1666,14698.18,10168.041,-0.3082108805307868
1667,14384.92,10425.854,-0.27522335890641036
1668,13998.13,10455.406,-0.25308551928007517
1669,13183.85,10412.41,-0.21021477034401947
1670,12557.79,10441.713,-0.16850711789255923
1671,12190.62,10278.084,-0.15688586798702608
1672,11901.82,10156.449,-0.1466474035063544
1673,12002.5,10329.884,-0.13935563424286612
1674,12408.35,10397.934,-0.16202121958197513
1675,12471.16,10297.634,-0.1742841884796602
1676,12567.32,10480.926,-0.16601741660115288
1677,12810.63,10745.475,-0.16120635753276757
1678,12472.83,10765.585,-0.1368771160995541
1679,11952.88,10711.479,-0.10385789868215856
1680,11723.44,10751.153,-0.08293529885426121
1681,11942.98,10542.648,-0.11725147325039487
1682,11862.03,10131.902,-0.14585429306788134
1683,12206.16,10047.661,-0.17683685942180016
1684,12344.3,10253.486,-0.16937485317109913
1685,12743.52,10345.0625,-0.1882099686742753
1686,12980.25,10361.983,-0.20171160031586444
1687,13120.17,10713.553,-0.18342879703540427
1688,12997.91,10877.457,-0.16313799680102414
1689,12773.02,10999.674,-0.1388352950202849
1690,12274.47,11129.145,-0.0933095278248266
1691,11716.2,11303.114,-0.03525767740393648
1692,12058.98,11358.342,-0.058100933909833063
1693,11965.08,11479.339,-0.04059655263483408
1694,12220.37,11483.895,-0.060266178519962965
1695,12463.96,11534.357,-0.07458327850859592
1696,12694.49,11590.552,-0.0869619811429998
1697,12405.56,11487.471,-0.0740062520353777
1698,12879.42,11086.204,-0.13923111444459457
1699,13436.22,10592.552,-0.2116419647787845
1700,14102.07,10581.077,-0.24967916057713513
1701,13894.11,11033.881,-0.20585910144658426
1702,13513.44,11447.893,-0.1528513095111238
1703,12751.06,11631.662,-0.08778862306349422
1704,11912.79,11719.831,-0.016197632964234265
