Entity,Code,Year,Price of lighting (average)
United Kingdom,GBR,1300,29674.293
United Kingdom,GBR,1301,30558.924
United Kingdom,GBR,1302,31341.666
United Kingdom,GBR,1303,32197.186
United Kingdom,GBR,1304,33004.742
United Kingdom,GBR,1305,33554.906
United Kingdom,GBR,1306,33659.79
United Kingdom,GBR,1307,33764.492
United Kingdom,GBR,1308,33118.44
United Kingdom,GBR,1309,31314.613
United Kingdom,GBR,1310,29988.13
United Kingdom,GBR,1311,28459.63
United Kingdom,GBR,1312,27720.973
United Kingdom,GBR,1313,27506.12
United Kingdom,GBR,1314,27668.377
United Kingdom,GBR,1315,27747.465
United Kingdom,GBR,1316,26577.963
United Kingdom,GBR,1317,24262.004
United Kingdom,GBR,1318,23047.846
United Kingdom,GBR,1319,23931.77
United Kingdom,GBR,1320,25177.365
United Kingdom,GBR,1321,25515.293
United Kingdom,GBR,1322,25867.854
United Kingdom,GBR,1323,26190.95
United Kingdom,GBR,1324,26000.186
United Kingdom,GBR,1325,24530.047
United Kingdom,GBR,1326,26400.219
United Kingdom,GBR,1327,27859.33
United Kingdom,GBR,1328,28874.65
United Kingdom,GBR,1329,28188.23
United Kingdom,GBR,1330,28750.63
United Kingdom,GBR,1331,27376.793
United Kingdom,GBR,1332,25738.938
United Kingdom,GBR,1333,25661.639
United Kingdom,GBR,1334,26554.367
United Kingdom,GBR,1335,27530.463
United Kingdom,GBR,1336,28945.506
United Kingdom,GBR,1337,31816.025
United Kingdom,GBR,1338,31214.564
United Kingdom,GBR,1339,32764.889
United Kingdom,GBR,1340,31155.14
United Kingdom,GBR,1341,31725.55
United Kingdom,GBR,1342,30230.78
United Kingdom,GBR,1343,31050.793
United Kingdom,GBR,1344,29306.5
United Kingdom,GBR,1345,30608.28
United Kingdom,GBR,1346,30870.842
United Kingdom,GBR,1347,29832.836
United Kingdom,GBR,1348,29005.668
United Kingdom,GBR,1349,29638.184
United Kingdom,GBR,1350,28759.584
United Kingdom,GBR,1351,26602.713
United Kingdom,GBR,1352,26727.934
United Kingdom,GBR,1353,26975.086
United Kingdom,GBR,1354,26009.816
United Kingdom,GBR,1355,26479.404
United Kingdom,GBR,1356,27306.627
United Kingdom,GBR,1357,28301.941
United Kingdom,GBR,1358,27479.506
United Kingdom,GBR,1359,27181.738
United Kingdom,GBR,1360,26533.373
United Kingdom,GBR,1361,26949.842
United Kingdom,GBR,1362,27131.314
United Kingdom,GBR,1363,27064.014
United Kingdom,GBR,1364,26325.736
United Kingdom,GBR,1365,25959.75
United Kingdom,GBR,1366,26665.916
United Kingdom,GBR,1367,27652.51
United Kingdom,GBR,1368,28287.049
United Kingdom,GBR,1369,28234.395
United Kingdom,GBR,1370,27050
United Kingdom,GBR,1371,25027.01
United Kingdom,GBR,1372,23585.408
United Kingdom,GBR,1373,22926.207
United Kingdom,GBR,1374,23216.814
United Kingdom,GBR,1375,24132.016
United Kingdom,GBR,1376,24025.434
United Kingdom,GBR,1377,24710.178
United Kingdom,GBR,1378,26310.45
United Kingdom,GBR,1379,27449.93
United Kingdom,GBR,1380,28154.984
United Kingdom,GBR,1381,28891.127
United Kingdom,GBR,1382,28130.41
United Kingdom,GBR,1383,26771.055
United Kingdom,GBR,1384,26071.424
United Kingdom,GBR,1385,26309.621
United Kingdom,GBR,1386,25817.23
United Kingdom,GBR,1387,25804.781
United Kingdom,GBR,1388,26263.957
United Kingdom,GBR,1389,26601.11
United Kingdom,GBR,1390,25531.414
United Kingdom,GBR,1391,24820.918
United Kingdom,GBR,1392,24563.05
United Kingdom,GBR,1393,25067.338
United Kingdom,GBR,1394,23800.002
United Kingdom,GBR,1395,23920.145
United Kingdom,GBR,1396,24453.447
