figure_id,book_citation,role,raw,script,selection,transformation,clean,plot,raw_sha256,script_sha256,clean_sha256,plot_sha256
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,book_period,figures/17-6/data/raw/cells.dta,scripts/reconstruct_17_6.py,"Author cells 1965,1975,1985,1993,2003 by sex; 2015 BLS all-person daily means for three cited activities","Weighted mean leisure_1 using cell_weight, rounded to published 2 decimals and cross-checked; BLS daily component sum times 7; population break intentionally dotted, not harmonized",figures/17-6/data/clean/figure_17_6_book_period.csv,figures/17-6/plots/book_period/figure_17_6_book_period.png,837ac8a233ae158a9f1f67b6db4e3025db6125013f0026e9713946f7370789bf,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,03ec00bfd418b68fac49ce31f3fd88bf05595c97c5a096f94894778d41100a1a,3da3c043e198303cff1dc4f8c06b493a018bdb97fea1de37e616b718c42d3c6f
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,book_period,figures/17-6/data/raw/aguiar_hurst_2007_table_iii.csv,scripts/reconstruct_17_6.py,"Author cells 1965,1975,1985,1993,2003 by sex; 2015 BLS all-person daily means for three cited activities","Weighted mean leisure_1 using cell_weight, rounded to published 2 decimals and cross-checked; BLS daily component sum times 7; population break intentionally dotted, not harmonized",figures/17-6/data/clean/figure_17_6_book_period.csv,figures/17-6/plots/book_period/figure_17_6_book_period.png,79c260b2dbe1ccb8f23ba3c200e79a1b1a42d65e3b639d6fc9ecaf2128f238b9,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,03ec00bfd418b68fac49ce31f3fd88bf05595c97c5a096f94894778d41100a1a,3da3c043e198303cff1dc4f8c06b493a018bdb97fea1de37e616b718c42d3c6f
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,book_period,figures/17-6/data/raw/aguiar_hurst_2006_table3.csv,scripts/reconstruct_17_6.py,"Author cells 1965,1975,1985,1993,2003 by sex; 2015 BLS all-person daily means for three cited activities","Weighted mean leisure_1 using cell_weight, rounded to published 2 decimals and cross-checked; BLS daily component sum times 7; population break intentionally dotted, not harmonized",figures/17-6/data/clean/figure_17_6_book_period.csv,figures/17-6/plots/book_period/figure_17_6_book_period.png,77e13a7a5cbd33040f00201e038504198be54389f156b3e9f5fbbf3582616b9d,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,03ec00bfd418b68fac49ce31f3fd88bf05595c97c5a096f94894778d41100a1a,3da3c043e198303cff1dc4f8c06b493a018bdb97fea1de37e616b718c42d3c6f
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,book_period,figures/17-6/data/raw/bls_2015_table1.html,scripts/reconstruct_17_6.py,"Author cells 1965,1975,1985,1993,2003 by sex; 2015 BLS all-person daily means for three cited activities","Weighted mean leisure_1 using cell_weight, rounded to published 2 decimals and cross-checked; BLS daily component sum times 7; population break intentionally dotted, not harmonized",figures/17-6/data/clean/figure_17_6_book_period.csv,figures/17-6/plots/book_period/figure_17_6_book_period.png,3cfb0d70a72d2a470b0f54e239a8177f392ad2ce57803585e190c0c063c8316b,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,03ec00bfd418b68fac49ce31f3fd88bf05595c97c5a096f94894778d41100a1a,3da3c043e198303cff1dc4f8c06b493a018bdb97fea1de37e616b718c42d3c6f
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,book_period,figures/17-6/data/raw/bls_a1_2015.pdf,scripts/reconstruct_17_6.py,"Author cells 1965,1975,1985,1993,2003 by sex; 2015 BLS all-person daily means for three cited activities","Weighted mean leisure_1 using cell_weight, rounded to published 2 decimals and cross-checked; BLS daily component sum times 7; population break intentionally dotted, not harmonized",figures/17-6/data/clean/figure_17_6_book_period.csv,figures/17-6/plots/book_period/figure_17_6_book_period.png,a8924c53c05fcc0807b2c670b87ddcfaf30d7132f5326828d80165ee1ba4f313,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,03ec00bfd418b68fac49ce31f3fd88bf05595c97c5a096f94894778d41100a1a,3da3c043e198303cff1dc4f8c06b493a018bdb97fea1de37e616b718c42d3c6f
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,book_period,figures/17-6/data/raw/bls_activity_tables.csv,scripts/reconstruct_17_6.py,"Author cells 1965,1975,1985,1993,2003 by sex; 2015 BLS all-person daily means for three cited activities","Weighted mean leisure_1 using cell_weight, rounded to published 2 decimals and cross-checked; BLS daily component sum times 7; population break intentionally dotted, not harmonized",figures/17-6/data/clean/figure_17_6_book_period.csv,figures/17-6/plots/book_period/figure_17_6_book_period.png,8bf32692e0ab8fdfa89cabdd812a68bb087e0b41e6dae2d36dedbd3052507c6b,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,03ec00bfd418b68fac49ce31f3fd88bf05595c97c5a096f94894778d41100a1a,3da3c043e198303cff1dc4f8c06b493a018bdb97fea1de37e616b718c42d3c6f
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,extension,figures/17-6/data/raw/cells.dta,scripts/reconstruct_17_6.py,Same BLS three-category basket/population 2015-2025; display alongside frozen historical reconstruction,"Daily all-person means times 7; dashed after 2015; explicit missing 2020, no interpolation; unchanged historical book line",figures/17-6/data/clean/figure_17_6_extended.csv,figures/17-6/plots/extended/figure_17_6_extended.png,837ac8a233ae158a9f1f67b6db4e3025db6125013f0026e9713946f7370789bf,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,9bd2a2bf69f6c72cb9de57acf3ebf9f794b6db2dd86c1c9abb70b59c3baade5f,5d198e352bd2ed72ae77de6d9bff747c5503eca549c62cb9ce9e34485a34b49c
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,extension,figures/17-6/data/raw/aguiar_hurst_2007_table_iii.csv,scripts/reconstruct_17_6.py,Same BLS three-category basket/population 2015-2025; display alongside frozen historical reconstruction,"Daily all-person means times 7; dashed after 2015; explicit missing 2020, no interpolation; unchanged historical book line",figures/17-6/data/clean/figure_17_6_extended.csv,figures/17-6/plots/extended/figure_17_6_extended.png,79c260b2dbe1ccb8f23ba3c200e79a1b1a42d65e3b639d6fc9ecaf2128f238b9,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,9bd2a2bf69f6c72cb9de57acf3ebf9f794b6db2dd86c1c9abb70b59c3baade5f,5d198e352bd2ed72ae77de6d9bff747c5503eca549c62cb9ce9e34485a34b49c
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,extension,figures/17-6/data/raw/bls_activity_tables.csv,scripts/reconstruct_17_6.py,Same BLS three-category basket/population 2015-2025; display alongside frozen historical reconstruction,"Daily all-person means times 7; dashed after 2015; explicit missing 2020, no interpolation; unchanged historical book line",figures/17-6/data/clean/figure_17_6_extended.csv,figures/17-6/plots/extended/figure_17_6_extended.png,8bf32692e0ab8fdfa89cabdd812a68bb087e0b41e6dae2d36dedbd3052507c6b,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,9bd2a2bf69f6c72cb9de57acf3ebf9f794b6db2dd86c1c9abb70b59c3baade5f,5d198e352bd2ed72ae77de6d9bff747c5503eca549c62cb9ce9e34485a34b49c
17-6,Aguiar and Hurst 2007 Table III; BLS 2016c ATUS 2015,extension,figures/17-6/data/raw/bls_a1_2015.pdf,scripts/reconstruct_17_6.py,Same BLS three-category basket/population 2015-2025; display alongside frozen historical reconstruction,"Daily all-person means times 7; dashed after 2015; explicit missing 2020, no interpolation; unchanged historical book line",figures/17-6/data/clean/figure_17_6_extended.csv,figures/17-6/plots/extended/figure_17_6_extended.png,a8924c53c05fcc0807b2c670b87ddcfaf30d7132f5326828d80165ee1ba4f313,3b2739e99b69d2d6fac4ee416db796e27fd6f09cf5ecbfb53404563f40236c9b,9bd2a2bf69f6c72cb9de57acf3ebf9f794b6db2dd86c1c9abb70b59c3baade5f,5d198e352bd2ed72ae77de6d9bff747c5503eca549c62cb9ce9e34485a34b49c
