year,arrivals,source_version,role,arrivals_millions,provisional,arrivals_billions
1995,540511673.060995,WDI 2016-11-17,book_period,,,0.540511673060995
1996,571347785.186245,WDI 2016-11-17,book_period,,,0.571347785186245
1997,599813480.498661,WDI 2016-11-17,book_period,,,0.599813480498661
1998,617786372.490973,WDI 2016-11-17,book_period,,,0.617786372490973
1999,643004522.949076,WDI 2016-11-17,book_period,,,0.6430045229490761
2000,694711897.991052,WDI 2016-11-17,book_period,,,0.694711897991052
2001,693772529.50632,WDI 2016-11-17,book_period,,,0.69377252950632
2002,715167546.288996,WDI 2016-11-17,book_period,,,0.715167546288996
2003,705929502.823766,WDI 2016-11-17,book_period,,,0.705929502823766
2004,778419088.772684,WDI 2016-11-17,book_period,,,0.778419088772684
2005,823219414.191739,WDI 2016-11-17,book_period,,,0.8232194141917389
2006,870776900.084567,WDI 2016-11-17,book_period,,,0.870776900084567
2007,932857313.501458,WDI 2016-11-17,book_period,,,0.9328573135014581
2008,948137344.308194,WDI 2016-11-17,book_period,,,0.9481373443081941
2009,907893256.022522,WDI 2016-11-17,book_period,,,0.907893256022522
2010,967194267.430147,WDI 2016-11-17,book_period,,,0.967194267430147
2011,1008502827.24736,WDI 2016-11-17,book_period,,,1.00850282724736
2012,1059739265.55718,WDI 2016-11-17,book_period,,,1.05973926555718
2013,1110801982.80616,WDI 2016-11-17,book_period,,,1.11080198280616
2014,1160911965.78946,WDI 2016-11-17,book_period,,,1.16091196578946
2015,1200058480.53102,WDI 2017-10,revised_endpoint,,,1.20005848053102
2015,1189200000.0,UNWTO 2019 via OWID,successor,,,1.1892
2016,1235300000.0,UNWTO 2019 via OWID,successor,,,1.2353
2017,1322000000.0,UNWTO 2019 via OWID,successor,,,1.322
2018,1404000000.0,UNWTO 2019 via OWID,successor,,,1.404
2019,1469000000.0,UN Tourism January 2026,successor,1469.0,False,1.469
2020,409000000.0,UN Tourism January 2026,successor,409.0,False,0.409
2021,462000000.0,UN Tourism January 2026,successor,462.0,False,0.462
2022,979000000.0,UN Tourism January 2026,successor,979.0,False,0.979
2023,1322000000.0,UN Tourism January 2026,successor,1322.0,False,1.322
2024,1465000000.0,UN Tourism January 2026,successor,1465.0,False,1.465
2025,1523000000.0,UN Tourism January 2026,successor,1523.0,True,1.523
