year,deaths_2016,rate_2016,country_2016,definition_2016,source_file_2016,source_url_2016,deaths_2025,rate_2025,country_2025,definition_2025,source_file_2025,source_url_2025,rate_difference,deaths_difference
2003,31484,10.8,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,31484,10.8,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2004,32439,11.0,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,32439,11.0,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2005,32637,10.9,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,32637,10.9,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2006,33300,11.0,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,33300,11.0,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2007,34598,11.3,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,34598,11.3,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2008,36035,11.6,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,36035,11.6,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2009,36909,11.8,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,36909,11.8,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2010,38364,12.1,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,38364,12.1,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2011,39518,12.3,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,39518,12.3,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2012,40600,12.6,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,40600,12.6,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2013,41149,12.6,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,41149,12.6,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,0
2014,42773,13.0,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm,42826,13.0,United States,age-adjusted; US2000 standard population,cdc_db541_2025.pdf,https://www.cdc.gov/nchs/products/databriefs/db541.htm,0.0,53
