year,weight,unit,variable,current_pct,report_pct,source_pdf_page,difference_pp
1972,unweighted,percent of valid responses,very_happy_pct,30.26151930261519,29.7,7,0.5615193026151921
1973,unweighted,percent of valid responses,very_happy_pct,35.86666666666667,36.8,7,-0.93333333333333
1974,unweighted,percent of valid responses,very_happy_pct,37.9054054054054,38.3,7,-0.3945945945945937
1975,unweighted,percent of valid responses,very_happy_pct,32.861952861952865,33.4,7,-0.5380471380471334
1976,unweighted,percent of valid responses,very_happy_pct,34.08939292861908,34.8,7,-0.7106070713809203
1977,unweighted,percent of valid responses,very_happy_pct,34.83955468238376,35.7,7,-0.8604453176162394
1978,unweighted,percent of valid responses,very_happy_pct,34.344100197758735,35.5,7,-1.1558998022412652
1980,unweighted,percent of valid responses,very_happy_pct,33.926128590971274,35.3,7,-1.3738714090287232
1982,unweighted,percent of valid responses,very_happy_pct,30.566037735849054,34.8,7,-4.233962264150943
1983,unweighted,percent of valid responses,very_happy_pct,31.150667514303876,31.7,7,-0.549332485696123
1984,unweighted,percent of valid responses,very_happy_pct,34.740484429065745,36.3,7,-1.559515570934252
1985,unweighted,percent of valid responses,very_happy_pct,28.627450980392155,29.6,7,-0.9725490196078468
1986,unweighted,percent of valid responses,very_happy_pct,32.298136645962735,33.2,7,-0.9018633540372676
1987,unweighted,percent of valid responses,very_happy_pct,29.10112359550562,33.5,7,-4.398876404494381
1988,unweighted,percent of valid responses,very_happy_pct,33.969986357435204,36.1,7,-2.1300136425647977
1989,unweighted,percent of valid responses,very_happy_pct,32.634338138925294,34.5,7,-1.865661861074706
1990,unweighted,percent of valid responses,very_happy_pct,33.4313005143277,35.7,7,-2.2686994856723004
1991,unweighted,percent of valid responses,very_happy_pct,31.050531914893615,32.5,7,-1.4494680851063855
1993,unweighted,percent of valid responses,very_happy_pct,31.605246720799503,33.4,7,-1.7947532792004957
1994,unweighted,percent of valid responses,very_happy_pct,28.787369835404768,30.5,7,-1.7126301645952324
1996,unweighted,percent of valid responses,very_happy_pct,30.398613518197575,32.1,7,-1.7013864818024267
1998,unweighted,percent of valid responses,very_happy_pct,31.753385602280826,33.3,7,-1.5466143977191713
2000,unweighted,percent of valid responses,very_happy_pct,31.724882967230823,33.9,7,-2.175117032769176
2002,unweighted,percent of valid responses,very_happy_pct,30.314097881665447,32.9,7,-2.585902118334552
2004,unweighted,percent of valid responses,very_happy_pct,31.338818249813016,33.6,7,-2.261181750186985
2006,unweighted,percent of valid responses,very_happy_pct,30.810448760884125,32.4,7,-1.589551239115874
2008,unweighted,percent of valid responses,very_happy_pct,29.727047146401986,31.7,7,-1.972952853598013
2010,unweighted,percent of valid responses,very_happy_pct,26.385483079941146,28.8,7,-2.4145169200588548
2012,unweighted,percent of valid responses,very_happy_pct,30.193482688391036,32.9,7,-2.7065173116089625
2014,unweighted,percent of valid responses,very_happy_pct,31.067193675889328,32.5,7,-1.4328063241106719
1972,wtssall,percent of valid responses,very_happy_pct,29.72308579062517,29.7,7,0.023085790625170688
1973,wtssall,percent of valid responses,very_happy_pct,36.795758767829405,36.8,7,-0.004241232170592468
1974,wtssall,percent of valid responses,very_happy_pct,38.30785091840805,38.3,7,0.007850918408053076
1975,wtssall,percent of valid responses,very_happy_pct,33.406633255539326,33.4,7,0.006633255539327365
1976,wtssall,percent of valid responses,very_happy_pct,34.84534800601003,34.8,7,0.04534800601003042
1977,wtssall,percent of valid responses,very_happy_pct,35.7263094468266,35.7,7,0.02630944682659475
1978,wtssall,percent of valid responses,very_happy_pct,35.4553906862739,35.5,7,-0.044609313726098776
1980,wtssall,percent of valid responses,very_happy_pct,35.27750613529727,35.3,7,-0.02249386470272441
