year,weight,unit,very_happy_pct,very_happy_pct_n,exciting_pct,exciting_pct_n
1972,unweighted,percent of valid responses,30.26151930261519,1606,,0
1973,unweighted,percent of valid responses,35.86666666666667,1500,45.485175202156334,1484
1974,unweighted,percent of valid responses,37.9054054054054,1480,43.48127600554785,1442
1975,unweighted,percent of valid responses,32.861952861952865,1485,,0
1976,unweighted,percent of valid responses,34.08939292861908,1499,44.74576271186441,1475
1977,unweighted,percent of valid responses,34.83955468238376,1527,44.38502673796791,1496
1978,unweighted,percent of valid responses,34.344100197758735,1517,,0
1980,unweighted,percent of valid responses,33.926128590971274,1462,45.96443228454172,1462
1982,unweighted,percent of valid responses,30.566037735849054,1855,43.13619099294628,1843
1983,unweighted,percent of valid responses,31.150667514303876,1573,,0
1984,unweighted,percent of valid responses,34.740484429065745,1445,46.81724845995893,1461
1985,unweighted,percent of valid responses,28.627450980392155,1530,47.92353328938695,1517
1986,unweighted,percent of valid responses,32.298136645962735,1449,,0
1987,unweighted,percent of valid responses,29.10112359550562,1780,43.954802259887,1770
1988,unweighted,percent of valid responses,33.969986357435204,1466,45.05263157894737,950
1989,unweighted,percent of valid responses,32.634338138925294,1526,44.54277286135693,1017
1990,unweighted,percent of valid responses,33.4313005143277,1361,44.98346196251378,907
1991,unweighted,percent of valid responses,31.050531914893615,1504,44.285714285714285,980
1993,unweighted,percent of valid responses,31.605246720799503,1601,46.485473289597,1067
1994,unweighted,percent of valid responses,28.787369835404768,2977,47.4216380182002,1978
1996,unweighted,percent of valid responses,30.398613518197575,2885,49.94747899159664,1904
1998,unweighted,percent of valid responses,31.753385602280826,2806,45.053763440860216,1860
2000,unweighted,percent of valid responses,31.724882967230823,2777,46.40914036996735,1838
2002,unweighted,percent of valid responses,30.314097881665447,1369,52.11581291759465,898
2004,unweighted,percent of valid responses,31.338818249813016,1337,50.56053811659192,892
2006,unweighted,percent of valid responses,30.810448760884125,2986,49.848024316109424,1974
2008,unweighted,percent of valid responses,29.727047146401986,2015,48.39192221391174,1337
2010,unweighted,percent of valid responses,26.385483079941146,2039,50.4739336492891,1266
2012,unweighted,percent of valid responses,30.193482688391036,1964,51.85185185185185,1296
2014,unweighted,percent of valid responses,31.067193675889328,2530,50.294117647058826,1700
2016,unweighted,percent of valid responses,28.191675410982864,2859,50.45381740523225,1873
2018,unweighted,percent of valid responses,29.906143344709896,2344,49.260450160771704,1555
2021,unweighted,percent of valid responses,19.506726457399104,4014,36.04346197077557,2669
2022,unweighted,percent of valid responses,22.13068181818182,3520,42.58147512864494,2332
2024,unweighted,percent of valid responses,20.8473026516306,3281,38.06306306306306,2220
1972,wtssall,percent of valid responses,29.72308579062517,1606,,0
1973,wtssall,percent of valid responses,36.795758767829405,1500,46.1515526424623,1484
1974,wtssall,percent of valid responses,38.30785091840805,1480,43.526097667133214,1442
1975,wtssall,percent of valid responses,33.406633255539326,1485,,0
1976,wtssall,percent of valid responses,34.84534800601003,1499,45.087361319164756,1475
1977,wtssall,percent of valid responses,35.7263094468266,1527,44.41881427281849,1496
1978,wtssall,percent of valid responses,35.4553906862739,1517,,0
1980,wtssall,percent of valid responses,35.27750613529727,1462,46.625984793323056,1462
1982,wtssall,percent of valid responses,32.21959143812197,1855,43.67173870910458,1843
1983,wtssall,percent of valid responses,31.678965738745205,1573,,0
1984,wtssall,percent of valid responses,36.30858459873484,1445,47.31262699238694,1461
1985,wtssall,percent of valid responses,29.644831031562603,1530,47.578488755179286,1517
1986,wtssall,percent of valid responses,33.229166666666664,1449,,0
1987,wtssall,percent of valid responses,30.72772473812649,1780,43.981305007875655,1770
1988,wtssall,percent of valid responses,36.06823023251749,1466,46.38103662247061,950
1989,wtssall,percent of valid responses,34.47025140886265,1526,44.95005553735746,1017
1990,wtssall,percent of valid responses,35.73128299861966,1361,45.100348354247004,907
1991,wtssall,percent of valid responses,32.51041501227811,1504,44.840632860205645,980
1993,wtssall,percent of valid responses,33.39949947351617,1601,47.27640986117797,1067
1994,wtssall,percent of valid responses,30.498209103600793,2977,48.23506415812181,1978
1996,wtssall,percent of valid responses,32.11670592505858,2885,50.88727329210284,1904
1998,wtssall,percent of valid responses,33.25233555759246,2806,45.20003755996151,1860
2000,wtssall,percent of valid responses,33.92053297571826,2777,46.625929389963645,1838
2002,wtssall,percent of valid responses,32.869987682261275,1369,52.29639035227212,898
2004,wtssall,percent of valid responses,33.590520227100086,1337,49.63995740402607,892
2006,wtssall,percent of valid responses,32.375682781718574,2986,51.159928152476596,1974
2008,wtssall,percent of valid responses,31.660390482798316,2015,47.609210927051464,1337
2010,wtssall,percent of valid responses,28.788969279139366,2039,52.06407373476583,1266
2012,wtssall,percent of valid responses,32.93032899569631,1964,52.69236632788186,1296
2014,wtssall,percent of valid responses,32.47506273358868,2530,51.41630804296383,1700
2016,wtssall,percent of valid responses,30.379946291574857,2859,50.79427468255078,1873
2018,wtssall,percent of valid responses,31.049610657734966,2344,50.64978819789054,1555
2021,wtssall,percent of valid responses,,0,,0
2022,wtssall,percent of valid responses,,0,,0
2024,wtssall,percent of valid responses,,0,,0
1972,wtssps,percent of valid responses,30.25574719281872,1606,,0
1973,wtssps,percent of valid responses,36.06213982540392,1500,46.512092542305425,1484
1974,wtssps,percent of valid responses,36.43091080858975,1480,43.303213372874005,1442
1975,wtssps,percent of valid responses,32.52156672946148,1485,,0
1976,wtssps,percent of valid responses,34.373663761578186,1499,45.18333705738539,1475
1977,wtssps,percent of valid responses,35.545858363284225,1527,45.61365098947061,1496
1978,wtssps,percent of valid responses,33.637150550685796,1517,,0
1980,wtssps,percent of valid responses,34.10914834432089,1462,47.71949995441592,1462
1982,wtssps,percent of valid responses,33.88324037073547,1855,46.49018962274118,1843
1983,wtssps,percent of valid responses,31.399105096959964,1573,,0
1984,wtssps,percent of valid responses,35.239029686845676,1445,46.29873942672767,1461
1985,wtssps,percent of valid responses,29.07438422506931,1530,47.71277856123285,1517
1986,wtssps,percent of valid responses,32.81010364692466,1449,,0
1987,wtssps,percent of valid responses,33.5646328127995,1780,45.20762124079046,1770
1988,wtssps,percent of valid responses,36.05905163605953,1466,46.78564354714282,950
1989,wtssps,percent of valid responses,34.22303610613803,1526,44.9678182613733,1017
1990,wtssps,percent of valid responses,35.05255393169907,1361,44.22692738548846,907
1991,wtssps,percent of valid responses,31.729077685369088,1504,45.40421720805548,980
1993,wtssps,percent of valid responses,31.362144454066854,1601,46.1857771391829,1067
