Year,USSR/Russia,United States,France,China,United Kingdom,Pakistan,India,Israel,principal_total,all_eight_total
1945,0.0,2.0,0,0,0,0,0,0,2.0,2.0
1946,0.0,9.0,0,0,0,0,0,0,9.0,9.0
1947,0.0,13.0,0,0,0,0,0,0,13.0,13.0
1948,0.0,50.0,0,0,0,0,0,0,50.0,50.0
1949,1.0,170.0,0,0,0,0,0,0,171.0,171.0
1950,5.0,299.0,0,0,0,0,0,0,304.0,304.0
1951,25.0,438.0,0,0,0,0,0,0,463.0,463.0
1952,50.0,841.0,0,0,0,0,0,0,891.0,891.0
1953,120.0,1169.0,0,0,1,0,0,0,1289.0,1290.0
1954,150.0,1703.0,0,0,5,0,0,0,1853.0,1858.0
1955,200.0,2422.0,0,0,10,0,0,0,2622.0,2632.0
1956,426.0,3692.0,0,0,50,0,0,0,4118.0,4168.0
1957,660.0,5543.0,0,0,58,0,0,0,6203.0,6261.0
1958,863.0,7345.0,0,0,60,0,0,0,8208.0,8268.0
1959,1048.0,12298.0,0,0,78,0,0,0,13346.0,13424.0
1960,1627.0,18638.0,0,0,105,0,0,0,20265.0,20370.0
1961,2492.0,22229.0,0,0,155,0,0,0,24721.0,24876.0
1962,3346.0,25540.0,0,0,211,0,0,0,28886.0,29097.0
1963,4259.0,28133.0,0,0,256,0,0,0,32392.0,32648.0
1964,5242.0,29463.0,4,1,271,0,0,0,34705.0,34981.0
1965,6144.0,31139.0,32,5,271,0,0,0,37283.0,37591.0
1966,7091.0,31175.0,36,20,281,0,0,0,38266.0,38603.0
1967,8400.0,31255.0,36,25,355,0,0,2,39655.0,40073.0
1968,9490.0,29561.0,36,35,317,0,0,4,39051.0,39443.0
1969,10671.0,27552.0,36,50,306,0,0,6,38223.0,38621.0
1970,11736.0,26008.0,36,75,375,0,0,8,37744.0,38238.0
1971,13279.0,25830.0,45,100,412,0,0,11,39109.0,39677.0
1972,14600.0,26516.0,70,130,423,0,0,13,41116.0,41752.0
1973,15878.0,27835.0,116,150,500,0,0,15,43713.0,44494.0
1974,17286.0,28537.0,145,170,500,0,0,17,45823.0,46655.0
1975,19235.0,27519.0,188,180,500,0,0,20,46754.0,47642.0
1976,22165.0,25914.0,212,180,500,0,0,22,48079.0,48993.0
1977,24281.0,25542.0,228,180,500,0,0,24,49823.0,50755.0
1978,26169.0,24418.0,235,190,500,0,0,26,50587.0,51538.0
1979,28258.0,24138.0,235,195,500,0,0,29,52396.0,53355.0
1980,30665.0,24104.0,250,205,500,0,0,31,54769.0,55755.0
1981,32146.0,23208.0,274,210,500,0,0,33,55354.0,56371.0
1982,33486.0,22886.0,274,216,385,0,0,35,56372.0,57282.0
1983,35130.0,23305.0,279,218,380,0,0,38,58435.0,59350.0
1984,36825.0,23459.0,280,220,350,0,0,40,60284.0,61174.0
1985,38582.0,23368.0,360,222,350,0,0,42,61950.0,62924.0
1986,40159.0,23317.0,355,224,350,0,0,44,63476.0,64449.0
1987,38107.0,23575.0,420,226,350,0,0,47,61682.0,62725.0
1988,36538.0,23205.0,410,228,350,0,0,49,59743.0,60780.0
1989,35078.0,22217.0,410,230,350,0,0,51,57295.0,58336.0
1990,32980.0,21392.0,505,232,350,0,0,53,54372.0,55512.0
1991,29154.0,19008.0,540,234,350,0,0,56,48162.0,49342.0
1992,26734.0,13708.0,540,234,250,0,0,58,40442.0,41524.0
1993,24403.0,11511.0,525,234,250,0,0,60,35914.0,36983.0
1994,21339.0,10979.0,510,234,250,0,0,62,32318.0,33374.0
1995,18179.0,10904.0,500,234,234,0,0,63,29083.0,30114.0
1996,15942.0,11011.0,450,234,203,0,0,64,26953.0,27904.0
1997,15442.0,10903.0,450,232,203,0,0,66,26345.0,27296.0
1998,14368.0,10732.0,450,232,240,2,3,68,25100.0,26095.0
1999,13188.0,10685.0,450,232,240,8,8,70,23873.0,24881.0
2000,12188.0,10577.0,470,232,280,14,13,72,22765.0,23846.0
2001,11152.0,10526.0,350,235,280,20,18,74,21678.0,22655.0
2002,10114.0,10457.0,350,235,280,26,23,76,20571.0,21561.0
2003,9076.0,10027.0,350,235,280,32,28,78,19103.0,20106.0
2004,8038.0,8570.0,350,235,280,38,33,80,16608.0,17624.0
2005,7000.0,8360.0,350,235,280,44,38,80,15360.0,16387.0
2006,6643.0,7853.0,350,235,245,50,43,80,14496.0,15499.0
2007,6286.0,5709.0,350,235,245,60,50,80,11995.0,13015.0
2008,5929.0,5273.0,300,235,245,70,60,80,11202.0,12192.0
2009,5527.0,5113.0,300,240,245,80,70,80,10640.0,11655.0
2010,5215.0,5066.0,300,240,225,90,80,80,10281.0,11296.0
2011,4858.0,4897.0,300,240,225,100,90,80,9755.0,10790.0
2012,4750.0,4881.0,300,240,225,110,100,80,9631.0,10686.0
2013,4650.0,4804.0,300,250,225,115,100,80,9454.0,10524.0
2014,4600.0,4717.0,300,250,225,120,100,80,9317.0,10392.0
2015,4500.0,4700.0,300,260,225,125,110,80,9200.0,10300.0
