Entity,Year,under5_mortality_per_1000,under5_mortality_percent
Canada,1800,333.47,33.347
Canada,1801,333.47,33.347
Canada,1802,333.47,33.347
Canada,1803,333.47,33.347
Canada,1804,333.47,33.347
Canada,1805,333.47,33.347
Canada,1806,333.47,33.347
Canada,1807,333.47,33.347
Canada,1808,333.47,33.347
Canada,1809,333.47,33.347
Canada,1810,333.47,33.347
Canada,1811,333.47,33.347
Canada,1812,333.47,33.347
Canada,1813,333.47,33.347
Canada,1814,333.47,33.347
Canada,1815,333.47,33.347
Canada,1816,333.47,33.347
Canada,1817,333.47,33.347
Canada,1818,333.47,33.347
Canada,1819,333.47,33.347
Canada,1820,333.47,33.347
Canada,1821,333.47,33.347
Canada,1822,333.47,33.347
Canada,1823,333.47,33.347
Canada,1824,333.47,33.347
Canada,1825,333.47,33.347
Canada,1826,333.47,33.347
Canada,1827,333.47,33.347
Canada,1828,333.47,33.347
Canada,1829,333.47,33.347
Canada,1830,333.47,33.347
Canada,1831,333.47,33.347
Canada,1832,331.26,33.126
Canada,1833,330.15,33.015
Canada,1834,329.04,32.904
Canada,1835,326.83,32.683
Canada,1836,325.72,32.572
Canada,1837,324.61,32.461
Canada,1838,323.5,32.35
Canada,1839,321.31,32.131
Canada,1840,320.22,32.022000000000006
Canada,1841,319.13,31.913
Canada,1842,318.04,31.804000000000002
Canada,1843,316.96,31.695999999999998
Canada,1844,316.96,31.695999999999998
Canada,1845,315.87,31.587
Canada,1846,314.78,31.477999999999998
Canada,1847,313.69,31.369
Canada,1848,313.69,31.369
Canada,1849,312.61,31.261000000000003
Canada,1850,311.52,31.151999999999997
Canada,1851,310.45,31.044999999999998
Canada,1852,310.45,31.044999999999998
Canada,1853,309.38,30.938
Canada,1854,309.38,30.938
Canada,1855,308.32,30.832
Canada,1856,308.32,30.832
Canada,1857,307.25,30.725
Canada,1858,307.25,30.725
Canada,1859,306.18,30.618000000000002
Canada,1860,306.18,30.618000000000002
Canada,1861,305.11,30.511000000000003
Canada,1862,304.05,30.405
Canada,1863,302.98,30.298000000000002
Canada,1864,301.91,30.191000000000003
Canada,1865,300.84,30.083999999999996
Canada,1866,299.8,29.98
Canada,1867,298.75,29.875
Canada,1868,297.7,29.77
Canada,1869,296.65,29.665
Canada,1870,295.6,29.560000000000002
Canada,1871,294.56,29.456
Canada,1872,292.46,29.246
Canada,1873,290.36,29.036
Canada,1874,288.3,28.830000000000002
Canada,1875,286.24,28.624000000000002
Canada,1876,284.19,28.419
Canada,1877,281.1,28.110000000000003
Canada,1878,279.06,27.906
Canada,1879,277.03,27.702999999999996
Canada,1880,275.01,27.500999999999998
Canada,1881,272.99,27.299
Canada,1882,271.98,27.198
Canada,1883,271.98,27.198
Canada,1884,270.97,27.097
Canada,1885,270.97,27.097
Canada,1886,269.96,26.996
Canada,1887,269.96,26.996
Canada,1888,269.96,26.996
Canada,1889,268.97,26.897000000000002
Canada,1890,268.97,26.897000000000002
