Entity,Code,Year,under5_mortality_percent,source_role
Canada,CAN,1921,14.44,current_owid_successor_proxy
Canada,CAN,1922,14.39,current_owid_successor_proxy
Canada,CAN,1923,14.11,current_owid_successor_proxy
Canada,CAN,1924,12.71,current_owid_successor_proxy
Canada,CAN,1925,12.24,current_owid_successor_proxy
Canada,CAN,1926,13.26,current_owid_successor_proxy
Canada,CAN,1927,12.49,current_owid_successor_proxy
Canada,CAN,1928,12.07,current_owid_successor_proxy
Canada,CAN,1929,12.75,current_owid_successor_proxy
Canada,CAN,1930,12.47,current_owid_successor_proxy
Canada,CAN,1931,11.56,current_owid_successor_proxy
Canada,CAN,1932,9.88,current_owid_successor_proxy
Canada,CAN,1933,9.29,current_owid_successor_proxy
Canada,CAN,1934,9.19,current_owid_successor_proxy
Canada,CAN,1935,9.15,current_owid_successor_proxy
Canada,CAN,1936,8.62,current_owid_successor_proxy
Canada,CAN,1937,10.33,current_owid_successor_proxy
Canada,CAN,1938,8.64,current_owid_successor_proxy
Canada,CAN,1939,8.08,current_owid_successor_proxy
Canada,CAN,1940,7.78,current_owid_successor_proxy
Canada,CAN,1941,8.06,current_owid_successor_proxy
Canada,CAN,1942,7.31,current_owid_successor_proxy
Canada,CAN,1943,7.02,current_owid_successor_proxy
Canada,CAN,1944,6.87,current_owid_successor_proxy
Canada,CAN,1945,6.13,current_owid_successor_proxy
Canada,CAN,1946,6.12,current_owid_successor_proxy
Canada,CAN,1947,5.99,current_owid_successor_proxy
Canada,CAN,1948,5.39,current_owid_successor_proxy
Canada,CAN,1949,5.13,current_owid_successor_proxy
Canada,CAN,1950,4.86,current_owid_successor_proxy
Canada,CAN,1951,4.61,current_owid_successor_proxy
Canada,CAN,1952,4.38,current_owid_successor_proxy
Canada,CAN,1953,4.17,current_owid_successor_proxy
Canada,CAN,1954,3.99,current_owid_successor_proxy
Canada,CAN,1955,3.83,current_owid_successor_proxy
Canada,CAN,1956,3.7,current_owid_successor_proxy
Canada,CAN,1957,3.58,current_owid_successor_proxy
Canada,CAN,1958,3.47,current_owid_successor_proxy
Canada,CAN,1959,3.36,current_owid_successor_proxy
Canada,CAN,1960,3.26,current_owid_successor_proxy
Canada,CAN,1961,3.16,current_owid_successor_proxy
Canada,CAN,1962,3.05,current_owid_successor_proxy
Canada,CAN,1963,2.94,current_owid_successor_proxy
Canada,CAN,1964,2.82,current_owid_successor_proxy
Canada,CAN,1965,2.71,current_owid_successor_proxy
Canada,CAN,1966,2.6,current_owid_successor_proxy
Canada,CAN,1967,2.5,current_owid_successor_proxy
Canada,CAN,1968,2.39,current_owid_successor_proxy
Canada,CAN,1969,2.29,current_owid_successor_proxy
Canada,CAN,1970,2.2,current_owid_successor_proxy
Canada,CAN,1971,2.1,current_owid_successor_proxy
Canada,CAN,1972,1.99,current_owid_successor_proxy
Canada,CAN,1973,1.89,current_owid_successor_proxy
Canada,CAN,1974,1.79,current_owid_successor_proxy
Canada,CAN,1975,1.7,current_owid_successor_proxy
Canada,CAN,1976,1.6,current_owid_successor_proxy
Canada,CAN,1977,1.51,current_owid_successor_proxy
Canada,CAN,1978,1.42,current_owid_successor_proxy
Canada,CAN,1979,1.33,current_owid_successor_proxy
Canada,CAN,1980,1.25,current_owid_successor_proxy
Canada,CAN,1981,1.18,current_owid_successor_proxy
Canada,CAN,1982,1.12,current_owid_successor_proxy
Canada,CAN,1983,1.06,current_owid_successor_proxy
Canada,CAN,1984,1.01,current_owid_successor_proxy
Canada,CAN,1985,0.97,current_owid_successor_proxy
Canada,CAN,1986,0.94,current_owid_successor_proxy
Canada,CAN,1987,0.91,current_owid_successor_proxy
Canada,CAN,1988,0.88,current_owid_successor_proxy
Canada,CAN,1989,0.86,current_owid_successor_proxy
Canada,CAN,1990,0.83,current_owid_successor_proxy
Canada,CAN,1991,0.8,current_owid_successor_proxy
Canada,CAN,1992,0.77,current_owid_successor_proxy
Canada,CAN,1993,0.74,current_owid_successor_proxy
Canada,CAN,1994,0.72,current_owid_successor_proxy
Canada,CAN,1995,0.69,current_owid_successor_proxy
Canada,CAN,1996,0.67,current_owid_successor_proxy
Canada,CAN,1997,0.65,current_owid_successor_proxy
Canada,CAN,1998,0.64,current_owid_successor_proxy
Canada,CAN,1999,0.63,current_owid_successor_proxy
Canada,CAN,2000,0.62,current_owid_successor_proxy
Canada,CAN,2001,0.62,current_owid_successor_proxy
Canada,CAN,2002,0.62,current_owid_successor_proxy
Canada,CAN,2003,0.62,current_owid_successor_proxy
Canada,CAN,2004,0.61,current_owid_successor_proxy
Canada,CAN,2005,0.61,current_owid_successor_proxy
Canada,CAN,2006,0.6,current_owid_successor_proxy
Canada,CAN,2007,0.6,current_owid_successor_proxy
Canada,CAN,2008,0.59,current_owid_successor_proxy
Canada,CAN,2009,0.58,current_owid_successor_proxy
Canada,CAN,2010,0.57,current_owid_successor_proxy
Canada,CAN,2011,0.56,current_owid_successor_proxy
Canada,CAN,2012,0.56,current_owid_successor_proxy
Canada,CAN,2013,0.55,current_owid_successor_proxy
Chile,CHL,1955,14.9,current_owid_successor_proxy
Chile,CHL,1956,15.01,current_owid_successor_proxy
Chile,CHL,1957,15.25,current_owid_successor_proxy
Chile,CHL,1958,15.44,current_owid_successor_proxy
Chile,CHL,1959,15.46,current_owid_successor_proxy
Chile,CHL,1960,15.28,current_owid_successor_proxy
Chile,CHL,1961,14.9,current_owid_successor_proxy
Chile,CHL,1962,14.33,current_owid_successor_proxy
Chile,CHL,1963,13.59,current_owid_successor_proxy
Chile,CHL,1964,12.67,current_owid_successor_proxy
Chile,CHL,1965,11.6,current_owid_successor_proxy
Chile,CHL,1966,10.41,current_owid_successor_proxy
Chile,CHL,1967,9.34,current_owid_successor_proxy
Chile,CHL,1968,8.6,current_owid_successor_proxy
Chile,CHL,1969,8.23,current_owid_successor_proxy
Chile,CHL,1970,8.07,current_owid_successor_proxy
Chile,CHL,1971,7.92,current_owid_successor_proxy
Chile,CHL,1972,7.74,current_owid_successor_proxy
Chile,CHL,1973,7.48,current_owid_successor_proxy
Chile,CHL,1974,7.1,current_owid_successor_proxy
Chile,CHL,1975,6.5,current_owid_successor_proxy
Chile,CHL,1976,5.68,current_owid_successor_proxy
Chile,CHL,1977,4.84,current_owid_successor_proxy
Chile,CHL,1978,4.16,current_owid_successor_proxy
Chile,CHL,1979,3.69,current_owid_successor_proxy
Chile,CHL,1980,3.32,current_owid_successor_proxy
Chile,CHL,1981,2.99,current_owid_successor_proxy
Chile,CHL,1982,2.69,current_owid_successor_proxy
Chile,CHL,1983,2.47,current_owid_successor_proxy
Chile,CHL,1984,2.32,current_owid_successor_proxy
Chile,CHL,1985,2.23,current_owid_successor_proxy
Chile,CHL,1986,2.21,current_owid_successor_proxy
Chile,CHL,1987,2.19,current_owid_successor_proxy
Chile,CHL,1988,2.15,current_owid_successor_proxy
Chile,CHL,1989,2.04,current_owid_successor_proxy
Chile,CHL,1990,1.9,current_owid_successor_proxy
Chile,CHL,1991,1.76,current_owid_successor_proxy
Chile,CHL,1992,1.63,current_owid_successor_proxy
Chile,CHL,1993,1.5,current_owid_successor_proxy
Chile,CHL,1994,1.39,current_owid_successor_proxy
Chile,CHL,1995,1.31,current_owid_successor_proxy
Chile,CHL,1996,1.26,current_owid_successor_proxy
Chile,CHL,1997,1.22,current_owid_successor_proxy
Chile,CHL,1998,1.19,current_owid_successor_proxy
Chile,CHL,1999,1.14,current_owid_successor_proxy
Chile,CHL,2000,1.09,current_owid_successor_proxy
Chile,CHL,2001,1.03,current_owid_successor_proxy
Chile,CHL,2002,0.98,current_owid_successor_proxy
Chile,CHL,2003,0.94,current_owid_successor_proxy
Chile,CHL,2004,0.92,current_owid_successor_proxy
Chile,CHL,2005,0.91,current_owid_successor_proxy
Chile,CHL,2006,0.9,current_owid_successor_proxy
Chile,CHL,2007,0.89,current_owid_successor_proxy
Chile,CHL,2008,0.88,current_owid_successor_proxy
Chile,CHL,2009,0.88,current_owid_successor_proxy
Chile,CHL,2010,0.87,current_owid_successor_proxy
Chile,CHL,2011,0.86,current_owid_successor_proxy
Chile,CHL,2012,0.84,current_owid_successor_proxy
Chile,CHL,2013,0.83,current_owid_successor_proxy
Ethiopia,ETH,1966,25.14,current_owid_successor_proxy
Ethiopia,ETH,1967,25.08,current_owid_successor_proxy
Ethiopia,ETH,1968,25.03,current_owid_successor_proxy
Ethiopia,ETH,1969,25.01,current_owid_successor_proxy
Ethiopia,ETH,1970,24.96,current_owid_successor_proxy
Ethiopia,ETH,1971,24.93,current_owid_successor_proxy
Ethiopia,ETH,1972,28.9,current_owid_successor_proxy
Ethiopia,ETH,1973,28.76,current_owid_successor_proxy
Ethiopia,ETH,1974,28.61,current_owid_successor_proxy
Ethiopia,ETH,1975,28.48,current_owid_successor_proxy
Ethiopia,ETH,1976,24.7,current_owid_successor_proxy
Ethiopia,ETH,1977,24.64,current_owid_successor_proxy
Ethiopia,ETH,1978,24.57,current_owid_successor_proxy
Ethiopia,ETH,1979,24.4,current_owid_successor_proxy
Ethiopia,ETH,1980,24.19,current_owid_successor_proxy
Ethiopia,ETH,1981,23.92,current_owid_successor_proxy
Ethiopia,ETH,1982,23.58,current_owid_successor_proxy
Ethiopia,ETH,1983,32.33,current_owid_successor_proxy
Ethiopia,ETH,1984,31.73,current_owid_successor_proxy
Ethiopia,ETH,1985,30.6,current_owid_successor_proxy
Ethiopia,ETH,1986,29.95,current_owid_successor_proxy
Ethiopia,ETH,1987,21.51,current_owid_successor_proxy
Ethiopia,ETH,1988,21.09,current_owid_successor_proxy
Ethiopia,ETH,1989,20.65,current_owid_successor_proxy
Ethiopia,ETH,1990,20.2,current_owid_successor_proxy
Ethiopia,ETH,1991,19.7,current_owid_successor_proxy
Ethiopia,ETH,1992,19.15,current_owid_successor_proxy
Ethiopia,ETH,1993,18.55,current_owid_successor_proxy
Ethiopia,ETH,1994,17.89,current_owid_successor_proxy
Ethiopia,ETH,1995,17.23,current_owid_successor_proxy
Ethiopia,ETH,1996,16.56,current_owid_successor_proxy
Ethiopia,ETH,1997,15.9,current_owid_successor_proxy
Ethiopia,ETH,1998,15.25,current_owid_successor_proxy
Ethiopia,ETH,1999,14.63,current_owid_successor_proxy
Ethiopia,ETH,2000,14.01,current_owid_successor_proxy
Ethiopia,ETH,2001,13.38,current_owid_successor_proxy
Ethiopia,ETH,2002,12.74,current_owid_successor_proxy
Ethiopia,ETH,2003,12.1,current_owid_successor_proxy
Ethiopia,ETH,2004,11.46,current_owid_successor_proxy
Ethiopia,ETH,2005,10.83,current_owid_successor_proxy
Ethiopia,ETH,2006,10.24,current_owid_successor_proxy
Ethiopia,ETH,2007,9.69,current_owid_successor_proxy
Ethiopia,ETH,2008,9.18,current_owid_successor_proxy
Ethiopia,ETH,2009,8.71,current_owid_successor_proxy
Ethiopia,ETH,2010,8.27,current_owid_successor_proxy
Ethiopia,ETH,2011,7.86,current_owid_successor_proxy
Ethiopia,ETH,2012,7.48,current_owid_successor_proxy
Ethiopia,ETH,2013,7.12,current_owid_successor_proxy
South Korea,KOR,1950,36.94,current_owid_successor_proxy
South Korea,KOR,1951,31.29,current_owid_successor_proxy
South Korea,KOR,1952,26.61,current_owid_successor_proxy
South Korea,KOR,1953,22.76,current_owid_successor_proxy
South Korea,KOR,1954,19.66,current_owid_successor_proxy
South Korea,KOR,1955,17.23,current_owid_successor_proxy
South Korea,KOR,1956,15.37,current_owid_successor_proxy
South Korea,KOR,1957,13.92,current_owid_successor_proxy
South Korea,KOR,1958,12.82,current_owid_successor_proxy
South Korea,KOR,1959,11.97,current_owid_successor_proxy
South Korea,KOR,1960,11.29,current_owid_successor_proxy
South Korea,KOR,1961,10.72,current_owid_successor_proxy
South Korea,KOR,1962,10.23,current_owid_successor_proxy
South Korea,KOR,1963,9.74,current_owid_successor_proxy
South Korea,KOR,1964,9.24,current_owid_successor_proxy
South Korea,KOR,1965,8.73,current_owid_successor_proxy
South Korea,KOR,1966,8.19,current_owid_successor_proxy
South Korea,KOR,1967,7.65,current_owid_successor_proxy
South Korea,KOR,1968,7.11,current_owid_successor_proxy
South Korea,KOR,1969,6.6,current_owid_successor_proxy
South Korea,KOR,1970,6.14,current_owid_successor_proxy
South Korea,KOR,1971,5.72,current_owid_successor_proxy
South Korea,KOR,1972,5.37,current_owid_successor_proxy
South Korea,KOR,1973,5.08,current_owid_successor_proxy
South Korea,KOR,1974,4.83,current_owid_successor_proxy
South Korea,KOR,1975,4.62,current_owid_successor_proxy
South Korea,KOR,1976,4.42,current_owid_successor_proxy
South Korea,KOR,1977,4.24,current_owid_successor_proxy
South Korea,KOR,1978,4.04,current_owid_successor_proxy
South Korea,KOR,1979,3.85,current_owid_successor_proxy
South Korea,KOR,1980,3.63,current_owid_successor_proxy
South Korea,KOR,1981,3.4,current_owid_successor_proxy
South Korea,KOR,1982,3.16,current_owid_successor_proxy
South Korea,KOR,1983,2.93,current_owid_successor_proxy
South Korea,KOR,1984,2.69,current_owid_successor_proxy
South Korea,KOR,1985,2.46,current_owid_successor_proxy
South Korea,KOR,1986,2.24,current_owid_successor_proxy
South Korea,KOR,1987,2.05,current_owid_successor_proxy
South Korea,KOR,1988,1.87,current_owid_successor_proxy
South Korea,KOR,1989,1.71,current_owid_successor_proxy
South Korea,KOR,1990,1.57,current_owid_successor_proxy
South Korea,KOR,1991,1.45,current_owid_successor_proxy
South Korea,KOR,1992,1.33,current_owid_successor_proxy
South Korea,KOR,1993,1.23,current_owid_successor_proxy
South Korea,KOR,1994,1.14,current_owid_successor_proxy
South Korea,KOR,1995,1.05,current_owid_successor_proxy
South Korea,KOR,1996,0.98,current_owid_successor_proxy
South Korea,KOR,1997,0.91,current_owid_successor_proxy
South Korea,KOR,1998,0.85,current_owid_successor_proxy
South Korea,KOR,1999,0.8,current_owid_successor_proxy
South Korea,KOR,2000,0.76,current_owid_successor_proxy
South Korea,KOR,2001,0.72,current_owid_successor_proxy
South Korea,KOR,2002,0.68,current_owid_successor_proxy
South Korea,KOR,2003,0.64,current_owid_successor_proxy
South Korea,KOR,2004,0.6,current_owid_successor_proxy
South Korea,KOR,2005,0.56,current_owid_successor_proxy
South Korea,KOR,2006,0.52,current_owid_successor_proxy
South Korea,KOR,2007,0.48,current_owid_successor_proxy
