Entity,Year,stunting_percent
Bangladesh,2022,23.6
Bangladesh,2019,28.0
Bangladesh,2018,30.9
Bangladesh,2015,35.0
Bangladesh,2014,36.2
Bangladesh,2013,42.0
Bangladesh,2012,37.0
Bangladesh,2011,41.3
Bangladesh,2007,43.2
Bangladesh,2006,45.1
Bangladesh,2005,46.2
Bangladesh,2004,50.5
Bangladesh,2003,47.8
Bangladesh,2002,51.4
Bangladesh,2001,53.2
Bangladesh,2000,51.1
Bangladesh,1999,59.9
Bangladesh,1998,59.3
Bangladesh,1997,59.6
Bangladesh,1996,63.8
Bangladesh,1995,65.8
Bangladesh,1994,67.3
Bangladesh,1993,69.2
Bangladesh,1992,71.5
Bangladesh,1991,73.6
Bangladesh,1990,63.4
Bangladesh,1986,70.9
Kenya,2022,17.6
Kenya,2016,28.6
Kenya,2014,26.2
Kenya,2011,26.3
Kenya,2008,35.5
Kenya,2005,40.3
Kenya,2003,35.8
Kenya,2000,40.8
Kenya,1998,36.8
Kenya,1994,41.1
Kenya,1993,40.2
Kenya,1987,37.0
Colombia,2016,12.7
Colombia,2010,12.6
Colombia,2005,16.0
Colombia,2000,18.2
Colombia,1995,19.6
Colombia,1988,21.8
Colombia,1986,25.7
China,2017,4.8
China,2013,8.1
China,2010,9.4
China,2009,9.0
China,2008,9.8
China,2005,11.7
China,2002,21.8
China,2000,17.8
China,1998,19.8
China,1995,31.2
China,1992,38.0
China,1990,32.3
China,1987,38.3
United States,2022,3.8
United States,2018,3.4
United States,2016,3.5
United States,2014,2.4
United States,2012,2.2
United States,2010,2.8
United States,2008,2.3
United States,2006,3.1
United States,2004,2.9
United States,2002,3.1
United States,2000,3.2
United States,1991,3.1
