Entity,Code,Year,Death rates from famines by decade
Africa,OWID_AFR,1870,0.0
Africa,OWID_AFR,1880,936.0774
Africa,OWID_AFR,1890,1529.5386
Africa,OWID_AFR,1900,1033.678
Africa,OWID_AFR,1910,821.3692
Africa,OWID_AFR,1920,0.0
Africa,OWID_AFR,1930,0.0
Africa,OWID_AFR,1940,0.0
Africa,OWID_AFR,1950,43.90262
Africa,OWID_AFR,1960,311.1767
Africa,OWID_AFR,1970,196.32957
Africa,OWID_AFR,1980,286.8898
Africa,OWID_AFR,1990,113.06233
Africa,OWID_AFR,2000,64.0789
Africa,OWID_AFR,2010,73.8004
Africa,OWID_AFR,2020,64.4231
Asia,OWID_ASI,1870,1983.4253
Asia,OWID_ASI,1880,17.92996
Asia,OWID_ASI,1890,760.0248
Asia,OWID_ASI,1900,177.00095
Asia,OWID_ASI,1910,168.89822
Asia,OWID_ASI,1920,1154.5673
Asia,OWID_ASI,1930,1119.3171
Asia,OWID_ASI,1940,1438.3602
Asia,OWID_ASI,1950,419.71896
Asia,OWID_ASI,1960,1704.0215
Asia,OWID_ASI,1970,142.40176
Asia,OWID_ASI,1980,0.0
Asia,OWID_ASI,1990,10.283275
Asia,OWID_ASI,2000,0.0
Asia,OWID_ASI,2010,7.7225027
Asia,OWID_ASI,2020,3.4920688
Europe,OWID_EUR,1870,0.0
Europe,OWID_EUR,1880,0.0
Europe,OWID_EUR,1890,348.15567
Europe,OWID_EUR,1900,0.0
Europe,OWID_EUR,1910,1108.4008
Europe,OWID_EUR,1920,292.4582
Europe,OWID_EUR,1930,637.0373
Europe,OWID_EUR,1940,1218.8947
Europe,OWID_EUR,1950,0.0
Europe,OWID_EUR,1960,0.0
Europe,OWID_EUR,1970,0.0
Europe,OWID_EUR,1980,0.0
Europe,OWID_EUR,1990,0.0
Europe,OWID_EUR,2000,0.0
Europe,OWID_EUR,2010,0.0
Europe,OWID_EUR,2020,0.0
North America,OWID_NAM,1870,0.0
North America,OWID_NAM,1880,0.0
North America,OWID_NAM,1890,175.52158
North America,OWID_NAM,1900,0.0
North America,OWID_NAM,1910,0.0
North America,OWID_NAM,1920,0.0
North America,OWID_NAM,1930,0.0
North America,OWID_NAM,1940,0.0
North America,OWID_NAM,1950,0.0
North America,OWID_NAM,1960,0.0
North America,OWID_NAM,1970,0.0
North America,OWID_NAM,1980,0.0
North America,OWID_NAM,1990,0.0
North America,OWID_NAM,2000,0.0
North America,OWID_NAM,2010,0.0
North America,OWID_NAM,2020,0.0
South America,OWID_SAM,1870,2089.0156
South America,OWID_SAM,1880,0.0
South America,OWID_SAM,1890,0.0
South America,OWID_SAM,1900,0.0
South America,OWID_SAM,1910,0.0
South America,OWID_SAM,1920,0.0
South America,OWID_SAM,1930,0.0
South America,OWID_SAM,1940,0.0
South America,OWID_SAM,1950,0.0
South America,OWID_SAM,1960,0.0
South America,OWID_SAM,1970,0.0
South America,OWID_SAM,1980,0.0
South America,OWID_SAM,1990,0.0
South America,OWID_SAM,2000,0.0
South America,OWID_SAM,2010,0.0
South America,OWID_SAM,2020,0.0
World,OWID_WRL,1870,1241.8103
World,OWID_WRL,1880,95.71179
World,OWID_WRL,1890,676.0814
World,OWID_WRL,1900,190.10449
World,OWID_WRL,1910,441.14548
World,OWID_WRL,1920,729.3064
World,OWID_WRL,1930,782.0179
World,OWID_WRL,1940,1093.676
World,OWID_WRL,1950,235.43404
World,OWID_WRL,1960,990.50775
World,OWID_WRL,1970,102.32347
World,OWID_WRL,1980,31.312973
World,OWID_WRL,1990,19.951067
World,OWID_WRL,2000,8.664476
World,OWID_WRL,2010,16.012583
World,OWID_WRL,2020,13.423345
