Entity,Code,Year,GDP per capita,GDP per capita (Annotations)
Chile,CHL,1800,853.0,
Chile,CHL,1810,853.0,
Chile,CHL,1811,815.0,
Chile,CHL,1812,802.0,
Chile,CHL,1813,808.0,
Chile,CHL,1814,813.0,
Chile,CHL,1815,816.0,
Chile,CHL,1816,789.0,
Chile,CHL,1817,781.0,
Chile,CHL,1818,822.0,
Chile,CHL,1819,787.0,
Chile,CHL,1820,824.0,
Chile,CHL,1821,805.0,
Chile,CHL,1822,830.0,
Chile,CHL,1823,797.0,
Chile,CHL,1824,786.0,
Chile,CHL,1825,853.0,
Chile,CHL,1826,885.0,
Chile,CHL,1827,904.0,
Chile,CHL,1828,910.0,
Chile,CHL,1829,932.0,
Chile,CHL,1830,925.0,
Chile,CHL,1831,929.0,
Chile,CHL,1832,956.0,
Chile,CHL,1833,961.0,
Chile,CHL,1834,983.0,
Chile,CHL,1835,1003.0,
Chile,CHL,1836,991.0,
Chile,CHL,1837,1028.0,
Chile,CHL,1838,1033.0,
Chile,CHL,1839,1023.0,
Chile,CHL,1840,1081.0,
Chile,CHL,1841,1081.0,
Chile,CHL,1842,1089.0,
Chile,CHL,1843,1111.0,
Chile,CHL,1844,1117.0,
Chile,CHL,1845,1141.0,
Chile,CHL,1846,1170.0,
Chile,CHL,1847,1183.0,
Chile,CHL,1848,1227.0,
Chile,CHL,1849,1298.0,
Chile,CHL,1850,1352.0,
Chile,CHL,1851,1392.0,
Chile,CHL,1852,1404.0,
Chile,CHL,1853,1364.0,
Chile,CHL,1854,1387.0,
Chile,CHL,1855,1425.0,
Chile,CHL,1856,1427.0,
Chile,CHL,1857,1462.0,
Chile,CHL,1858,1513.0,
Chile,CHL,1859,1559.0,
Chile,CHL,1860,1588.0,
Chile,CHL,1861,1575.0,
Chile,CHL,1862,1553.0,
Chile,CHL,1863,1596.0,
Chile,CHL,1864,1667.0,
Chile,CHL,1865,1710.0,
Chile,CHL,1866,1750.0,
Chile,CHL,1867,1666.0,
Chile,CHL,1868,1714.0,
Chile,CHL,1869,1849.0,
Chile,CHL,1870,1868.0,
Chile,CHL,1871,1836.0,
Chile,CHL,1872,1910.0,
Chile,CHL,1873,2024.0,
Chile,CHL,1874,1954.0,
Chile,CHL,1875,2050.0,
Chile,CHL,1876,1988.0,
Chile,CHL,1877,1908.0,
Chile,CHL,1878,1953.0,
Chile,CHL,1879,2219.0,
Chile,CHL,1880,2418.0,
Chile,CHL,1881,2488.0,
Chile,CHL,1882,2694.0,
Chile,CHL,1883,2683.0,
Chile,CHL,1884,2703.0,
Chile,CHL,1885,2547.0,
Chile,CHL,1886,2625.0,
Chile,CHL,1887,2783.0,
Chile,CHL,1888,2617.0,
Chile,CHL,1889,2708.0,
Chile,CHL,1890,2907.0,
Chile,CHL,1891,3038.0,
Chile,CHL,1892,3005.0,
Chile,CHL,1893,3084.0,
Chile,CHL,1894,2978.0,
Chile,CHL,1895,3304.0,
Chile,CHL,1896,3379.0,
Chile,CHL,1897,3210.0,
Chile,CHL,1898,3609.0,
Chile,CHL,1899,3467.0,
Chile,CHL,1900,3386.0,
Chile,CHL,1901,3416.0,
Chile,CHL,1902,3604.0,
Chile,CHL,1903,3381.0,
Chile,CHL,1904,3647.0,
Chile,CHL,1905,3470.0,
Chile,CHL,1906,3668.0,
Chile,CHL,1907,3810.0,
Chile,CHL,1908,4020.0,
Chile,CHL,1909,4042.0,
Chile,CHL,1910,4485.0,
Chile,CHL,1911,4481.0,
Chile,CHL,1912,4806.0,
Chile,CHL,1913,4836.0,
Chile,CHL,1914,4071.0,
Chile,CHL,1915,3813.0,
Chile,CHL,1916,4600.0,
Chile,CHL,1917,4621.0,
Chile,CHL,1918,4602.0,
Chile,CHL,1919,3853.0,
Chile,CHL,1920,4248.0,
Chile,CHL,1921,3727.0,
Chile,CHL,1922,3814.0,
Chile,CHL,1923,4514.0,
Chile,CHL,1924,4779.0,
Chile,CHL,1925,4903.0,
Chile,CHL,1926,4702.0,
Chile,CHL,1927,4544.0,
Chile,CHL,1928,5609.0,
Chile,CHL,1929,5679.0,
Chile,CHL,1930,4876.0,
Chile,CHL,1931,3904.0,
Chile,CHL,1932,2950.0,
Chile,CHL,1933,3618.0,
Chile,CHL,1934,4269.0,
Chile,CHL,1935,4511.0,
Chile,CHL,1936,4584.0,
