percentile,lower_percentile,upper_percentile,mean_income_1988,mean_income_2008,growth_pct,source_sample
5,0,5,172.81362285235082,191.98866299350541,11.095792001037697,LM-WPID mysample==1; 2005 PPP dollars
10,5,10,219.14531272653008,303.54796990533606,38.51447066272937,LM-WPID mysample==1; 2005 PPP dollars
15,10,15,265.3124188508187,374.9556123508063,41.32606908296983,LM-WPID mysample==1; 2005 PPP dollars
20,15,20,301.1519327902369,437.59541002633665,45.307189620840816,LM-WPID mysample==1; 2005 PPP dollars
25,20,25,336.0747643726275,503.7139652257707,49.88152001418082,LM-WPID mysample==1; 2005 PPP dollars
30,25,30,375.02283582085636,577.2523505648685,53.92458683252415,LM-WPID mysample==1; 2005 PPP dollars
35,30,35,413.708201060523,663.9940135160156,60.4981510673213,LM-WPID mysample==1; 2005 PPP dollars
40,35,40,460.1201794980215,745.3191305573666,61.983578153535746,LM-WPID mysample==1; 2005 PPP dollars
45,40,45,516.4001878605127,859.6905436061002,66.47758149892759,LM-WPID mysample==1; 2005 PPP dollars
50,45,50,581.727774270515,986.0631086226853,69.50593597825126,LM-WPID mysample==1; 2005 PPP dollars
55,50,55,683.0890485510074,1210.9961963393707,77.28233220956749,LM-WPID mysample==1; 2005 PPP dollars
60,55,60,870.7029616416202,1492.740764174357,71.4408736315711,LM-WPID mysample==1; 2005 PPP dollars
65,60,65,1120.8090282756596,1796.2455419659568,60.26330058470726,LM-WPID mysample==1; 2005 PPP dollars
70,65,70,1492.8742505601347,2299.084235360078,54.00387772094326,LM-WPID mysample==1; 2005 PPP dollars
75,70,75,2317.824761399567,2976.0976015667566,28.40045766746,LM-WPID mysample==1; 2005 PPP dollars
80,75,80,3769.0839774343995,3805.384691378009,0.9631176742397551,LM-WPID mysample==1; 2005 PPP dollars
85,80,85,5873.303622116715,6059.580190341533,3.171580769694393,LM-WPID mysample==1; 2005 PPP dollars
90,85,90,8838.21242260181,9356.143026211737,5.860128483509097,LM-WPID mysample==1; 2005 PPP dollars
95,90,95,12865.255483446177,14922.950623108973,15.994203475480507,LM-WPID mysample==1; 2005 PPP dollars
99,95,99,21016.86622620461,25794.52944234146,22.732519514159932,LM-WPID mysample==1; 2005 PPP dollars
100,99,100,38053.271693021765,58692.54161221712,54.23783291406244,LM-WPID mysample==1; 2005 PPP dollars
