Year,decade_label,deaths_per_100k_per_decade,value_source
1860,1860s,301,printed_label_in_archived_owid_static_source_image_20180103
1870,1870s,1426,printed_label_in_archived_owid_static_source_image_20180103
1880,1880s,196,printed_label_in_archived_owid_static_source_image_20180103
1890,1890s,605,printed_label_in_archived_owid_static_source_image_20180103
1900,1900s,313,printed_label_in_archived_owid_static_source_image_20180103
1910,1910s,149,printed_label_in_archived_owid_static_source_image_20180103
1920,1920s,823,printed_label_in_archived_owid_static_source_image_20180103
1930,1930s,559,printed_label_in_archived_owid_static_source_image_20180103
1940,1940s,785,printed_label_in_archived_owid_static_source_image_20180103
1950,1950s,324,printed_label_in_archived_owid_static_source_image_20180103
1960,1960s,504,printed_label_in_archived_owid_static_source_image_20180103
1970,1970s,88,printed_label_in_archived_owid_static_source_image_20180103
1980,1980s,28,printed_label_in_archived_owid_static_source_image_20180103
1990,1990s,52,printed_label_in_archived_owid_static_source_image_20180103
2000,2000s,43,printed_label_in_archived_owid_static_source_image_20180103
2010,2010-2016,3,printed_label_in_archived_owid_static_source_image_20180103
